Unnamed: 0,GNB,DET
First Downs,30,18
Rush-Yds-TDs,20-98-0,28-94-2
Cmp-Att-Yd-TD-INT,32-52-442-3-0,14-26-183-2-0
Sacked-Yards,4-19,3-13
Net Pass Yards,423,170
Total Yards,521,264
Fumbles-Lost,3-3,0-0
Turnovers,3,0
Penalties-Yards,12-112,8-71
Third Down Conv.,3-10,5-13
Fourth Down Conv.,2-2,0-0
Time of Possession,33:20,26:40
