Quarter,Time,Tm,Detail,ATL,BAL
1.0,8:02,Ravens,Justin Tucker 21 yard field goal,0,3
2.0,12:42,Ravens,Justin Tucker 27 yard field goal,0,6
,2:23,Ravens,Demarcus Robinson 6 yard pass from Tyler Huntley (Tyler Huntley run),0,14
,0:00,Falcons,Younghoe Koo 32 yard field goal,3,14
3.0,7:01,Falcons,Younghoe Koo 34 yard field goal,6,14
4.0,14:10,Ravens,Justin Tucker 21 yard field goal,6,17
,2:03,Falcons,Younghoe Koo 37 yard field goal,9,17
