Unnamed: 0,DAL,PHI
First Downs,13,20
Rush-Yds-TDs,34-150-0,23-175-1
Cmp-Att-Yd-TD-INT,15-24-93-1-2,18-34-240-3-0
Sacked-Yards,3-18,2-12
Net Pass Yards,75,228
Total Yards,225,403
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,9-62,3-25
Third Down Conv.,2-13,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,33:22,26:38
