Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Toby Gowin kicks off 61 yards, returned by James Thrash for 15 yards (tackle by Pete Hunter)",0.000,0.540
1,14:56,1,10,PHI 24,0,0,"Donovan McNabb pass incomplete intended for Todd Pinkston. Penalty on Mario Edwards: Defensive Holding, 5 yards (no play)",0.540,0.870
1,14:49,1,10,PHI 29,0,0,Donovan McNabb pass incomplete intended for L.J. Smith (defended by Greg Ellis),0.870,0.330
1,14:46,2,10,PHI 29,0,0,Brian Westbrook up the middle for 6 yards (tackle by Dat Nguyen),0.330,0.430
1,14:03,3,4,PHI 35,0,0,Donovan McNabb pass complete to Duce Staley for no gain,0.430,-1.040
1,13:30,4,4,PHI 35,0,0,"Dirk Johnson punts 40 yards, fair catch by Zuriel Smith",-1.040,-0.610
1,13:23,1,10,DAL 25,0,0,Troy Hambrick left guard for 4 yards (tackle by Brandon Whiting and Michael Lewis),0.610,0.600
1,12:47,2,6,DAL 29,0,0,Troy Hambrick up the middle for 6 yards (tackle by N.D. Kalu),0.600,1.270
1,12:08,1,10,DAL 35,0,0,Troy Hambrick right guard for 3 yards (tackle by Sam Rayburn),1.270,1.130
1,11:30,2,7,DAL 38,0,0,Troy Hambrick right tackle for 6 yards (tackle by Michael Lewis),1.130,1.220
1,10:50,3,1,DAL 44,0,0,Troy Hambrick left guard for 1 yard (tackle by Mark Simoneau),1.220,1.930
1,10:12,1,10,DAL 45,0,0,Troy Hambrick left tackle for -4 yards (tackle by Corey Simon and Darwin Walker),1.930,0.840
1,9:32,2,14,DAL 41,0,0,Troy Hambrick left end for 3 yards (tackle by N.D. Kalu),0.840,0.560
1,8:46,3,11,DAL 44,0,0,Quincy Carter pass complete to Zuriel Smith for 8 yards (tackle by Troy Vincent),0.560,0.070
1,8:14,4,3,PHI 48,0,0,Toby Gowin punts 35 yards,0.070,0.320
1,8:03,1,10,PHI 13,0,0,Correll Buckhalter right tackle for 3 yards (tackle by Greg Ellis),-0.320,-0.440
1,7:23,2,7,PHI 16,0,0,Donovan McNabb pass incomplete intended for James Thrash (defended by Terence Newman),-0.440,-1.060
1,7:17,3,7,PHI 16,0,0,Donovan McNabb pass complete to Freddie Mitchell for 3 yards (tackle by Pete Hunter),-1.060,-2.140
1,6:50,4,4,PHI 19,0,0,"Dirk Johnson punts 35 yards, returned by Zuriel Smith for 9 yards (tackle by Justin Ena)",-2.140,-2.590
1,6:41,1,10,PHI 45,0,0,Troy Hambrick left end for 8 yards (tackle by Carlos Emmons),2.590,3.120
1,6:05,2,2,PHI 37,0,0,Troy Hambrick for 22 yards,3.120,4.580
1,5:37,1,10,PHI 15,0,0,Troy Hambrick left guard for no gain (tackle by Brandon Whiting),4.580,3.950
1,4:57,2,10,PHI 15,0,0,Quincy Carter pass complete to Richie Anderson for 9 yards (tackle by Brian Dawkins),3.950,4.900
1,4:17,3,1,PHI 6,0,0,"Penalty on Ryan Young: False Start, 5 yards (no play)",4.900,3.780
1,3:51,3,6,PHI 11,0,0,Quincy Carter pass incomplete intended for Antonio Bryant,3.780,2.720
1,3:47,4,6,PHI 11,3,0,Billy Cundiff 29 yard field goal good,2.720,3.000
1,,,,DAL 30,3,0,"Toby Gowin kicks off 66 yards, returned by James Thrash for 27 yards (tackle by Tony Dixon)",0.000,1.000
1,3:36,1,10,PHI 31,3,0,Donovan McNabb pass incomplete intended for Chad Lewis (defended by Dat Nguyen),1.000,0.460
1,3:31,2,10,PHI 31,3,0,Correll Buckhalter right guard for 3 yards (tackle by Darren Woodson),0.460,0.170
1,2:55,3,7,PHI 34,3,0,Donovan McNabb pass complete to Todd Pinkston for 23 yards (tackle by Randal Williams),0.170,2.720
1,2:13,1,10,DAL 43,3,0,Donovan McNabb pass complete to Freddie Mitchell for 33 yards (tackle by Terence Newman),2.720,4.910
1,1:45,1,10,DAL 10,3,0,"Penalty on L.J. Smith: Offensive Holding, 10 yards (no play)",4.910,4.240
1,1:29,1,20,DAL 20,3,0,Donovan McNabb sacked by Greg Ellis for -12 yards. Penalty on Tra Thomas: Offensive Holding (Declined),4.240,1.380
1,1:05,2,32,DAL 32,3,0,Brian Westbrook left guard for 7 yards (tackle by Eric Ogbogu and La'Roi Glover),1.380,1.680
1,0:27,3,25,DAL 25,3,0,Donovan McNabb for 21 yards (tackle by Randal Williams),1.680,3.030
Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,DAL 4,3,3,David Akers 22 yard field goal good,3.030,3.000
2,,,,PHI 30,3,3,"David Akers kicks off 59 yards, returned by Zuriel Smith for 19 yards (tackle by Clinton Hart)",0.000,0.940
2,14:51,1,10,DAL 30,3,3,Erik Bickerstaff right guard for 7 yards (tackle by Carlos Emmons),0.940,1.340
2,14:11,2,3,DAL 37,3,3,Erik Bickerstaff left tackle for 7 yards (tackle by Carlos Emmons),1.340,1.860
2,13:33,1,10,DAL 44,3,3,Erik Bickerstaff right tackle for 1 yard (tackle by Michael Lewis),1.860,1.450
2,13:04,2,9,DAL 45,3,3,Richie Anderson left guard for 12 yards (tackle by Brian Dawkins),1.450,2.720
2,12:25,1,10,PHI 43,3,3,Erik Bickerstaff left tackle for 4 yards (tackle by Darwin Walker),2.720,2.720
2,11:42,2,6,PHI 39,3,3,"Penalty on Kurt Vollers: False Start, 5 yards (no play)",2.720,2.040
2,11:08,2,11,PHI 44,3,3,Richie Anderson right guard for 3 yards (tackle by Mark Simoneau),2.040,1.750
