Quarter,Time,Tm,Detail,ARI,LAR
2.0,14:29,Rams,Todd Gurley 11 yard rush (Todd Gurley run),0,8
,8:07,Rams,Johnny Hekker 20 yard field goal,0,11
,0:00,Rams,Todd Gurley 1 yard rush (Todd Gurley run),0,19
3.0,3:39,Rams,Todd Gurley 2 yard rush (Malcolm Brown pass from Jared Goff),0,27
4.0,3:17,Rams,Tyler Higbee 3 yard pass from Jared Goff (Johnny Hekker kick),0,34
