Unnamed: 0,ARI,LAR
First Downs,5,24
Rush-Yds-TDs,15-54-0,33-90-3
Cmp-Att-Yd-TD-INT,17-27-90-0-1,24-32-354-1-1
Sacked-Yards,1-7,2-12
Net Pass Yards,83,342
Total Yards,137,432
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,9-47,5-49
Third Down Conv.,3-12,8-15
Fourth Down Conv.,1-1,1-3
Time of Possession,25:52,34:08
