Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Phil Dawson kicks off 67 yards, returned by Jojo Natson for no gain (tackle by Zeke Turner)",0.000,0.280
1,14:55,1,10,LAR 20,0,0,Todd Gurley right end for -1 yards (tackle by Benson Mayowa),0.280,-0.460
1,14:28,2,11,LAR 19,0,0,Jared Goff pass complete short right to Todd Gurley for 5 yards (tackle by Patrick Peterson),-0.460,-0.430
1,13:52,3,6,LAR 24,0,0,Jared Goff pass complete short right to Robert Woods for 7 yards (tackle by Patrick Peterson),-0.430,1.000
1,13:10,1,10,LAR 31,0,0,Todd Gurley right tackle for 4 yards (tackle by Corey Peters),1.000,1.000
1,12:43,2,6,LAR 35,0,0,"Jared Goff pass incomplete short left intended for Cooper Kupp. Penalty on Jamar Taylor: Defensive Holding, 5 yards (no play)",1.000,1.600
1,12:37,1,10,LAR 40,0,0,Todd Gurley left end for -4 yards (tackle by Budda Baker and Robert Nkemdiche),1.600,0.510
1,12:05,2,14,LAR 36,0,0,Jared Goff pass complete short right to Robert Woods for 4 yards (tackle by Bene Benwikere),0.510,0.370
1,11:40,3,10,LAR 40,0,0,Jared Goff pass incomplete deep middle intended for Robert Woods (defended by Josh Bynes),0.370,-0.720
1,11:33,4,10,LAR 40,0,0,"Johnny Hekker punts 60 yards, touchback.",-0.720,-0.280
1,11:25,1,10,ARI 20,0,0,David Johnson left guard for 1 yard (tackle by Ramik Wilson and Michael Brockers),0.280,-0.130
1,10:48,2,9,ARI 21,0,0,David Johnson right guard for 7 yards (tackle by John Johnson),-0.130,0.100
1,10:02,3,2,ARI 28,0,0,Sam Bradford pass complete short middle to Christian Kirk for 10 yards (tackle by John Johnson),0.100,1.470
1,9:21,1,10,ARI 38,0,0,"Penalty on D.J. Humphries: False Start, 5 yards (no play)",1.470,1.140
1,8:53,1,15,ARI 33,0,0,David Johnson left tackle for 4 yards (tackle by John Johnson),1.140,0.790
1,8:09,2,11,ARI 37,0,0,Sam Bradford pass complete short left to Ricky Seals-Jones for 8 yards,0.790,1.160
1,7:32,3,3,ARI 45,0,0,Sam Bradford pass incomplete short left intended for Ricky Seals-Jones (defended by John Johnson),1.160,-0.390
1,7:26,4,3,ARI 45,0,0,Andy Lee punts 43 yards out of bounds,-0.390,0.350
1,7:18,1,10,LAR 12,0,0,Todd Gurley right tackle for 1 yard (tackle by Patrick Peterson),-0.350,-0.700
1,6:35,2,9,LAR 13,0,0,Todd Gurley right tackle for -2 yards (tackle by Robert Nkemdiche),-0.700,-1.540
1,5:57,3,11,LAR 11,0,0,Jared Goff pass complete short left to Brandin Cooks for 13 yards (tackle by Jamar Taylor),-1.540,0.540
1,5:16,1,10,LAR 24,0,0,Jared Goff pass complete short middle to Brandin Cooks for 22 yards (tackle by Jamar Taylor),0.540,1.990
1,4:50,1,10,LAR 46,0,0,Jared Goff sacked by Benson Mayowa for -2 yards,1.990,1.180
1,4:04,2,12,LAR 44,0,0,Jared Goff pass complete short middle to Cooper Kupp for 10 yards (tackle by Gerald Hodges),1.180,1.820
1,3:33,3,2,ARI 46,0,0,Todd Gurley right guard for 1 yard (tackle by Josh Bynes),1.820,0.270
1,2:51,4,1,ARI 45,0,0,"Penalty on Rodger Saffold: False Start, 4 yards (no play)",0.270,0.000
1,2:41,4,5,ARI 49,0,0,Johnny Hekker punts 42 yards downed by Josh Reynolds,0.000,0.380
1,2:32,1,10,ARI 7,0,0,David Johnson right end for -2 yards (tackle by Michael Brockers and Aaron Donald),-0.380,-0.930
1,1:42,,,,,,Timeout #1 by Arizona Cardinals,,
1,1:42,2,12,ARI 5,0,0,Sam Bradford pass incomplete short middle intended for Larry Fitzgerald,-0.930,-1.650
1,1:38,3,12,ARI 5,0,0,Sam Bradford pass complete short left to Christian Kirk for 11 yards (tackle by Marqui Christian),-1.650,-2.390
1,1:01,4,1,ARI 16,0,0,"Andy Lee punts 46 yards, returned by Jojo Natson for 13 yards (tackle by Dennis Gardeck). Penalty on Josh Reynolds: Illegal Block Above the Waist, 10 yards",-2.390,-1.660
1,0:48,1,10,LAR 41,0,0,Jared Goff pass complete deep left to Robert Woods for 19 yards (tackle by Budda Baker),1.660,2.920
1,0:12,1,10,ARI 40,0,0,Jared Goff pass complete short left to Brandin Cooks for 20 yards (tackle by Tre Boston),2.920,4.240
Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 20,0,0,Jared Goff pass complete short middle to Brandin Cooks for 9 yards (tackle by Antoine Bethea),4.240,5.260
2,14:37,2,1,ARI 11,0,6,"Todd Gurley right end for 11 yards, touchdown",5.260,7.000
2,14:29,,,ARI 2,0,6,"Penalty on Benson Mayowa: Neutral Zone Infraction, 1 yard (no play)",0.000,0.000
2,14:29,,,ARI 1,0,8,"Two Point Attempt: Todd Gurley rushes, conversion succeeds.",0.000,1.000
2,14:29,,,LAR 35,0,8,"Johnny Hekker kicks off 65 yards, touchback.",0.000,0.610
2,14:29,1,10,ARI 25,0,8,Sam Bradford pass incomplete short right intended for Ricky Seals-Jones,0.610,0.060
2,14:24,2,10,ARI 25,0,8,David Johnson up the middle for 4 yards (tackle by Cory Littleton),0.060,-0.100
2,13:40,3,6,ARI 29,0,8,Sam Bradford sacked by Samson Ebukam for -7 yards,-0.100,-1.900
2,13:05,4,13,ARI 22,0,8,"Andy Lee punts 49 yards, returned by Jojo Natson for 17 yards (tackle by Zeke Turner)",-1.900,-1.990
2,12:52,1,10,LAR 46,0,8,Todd Gurley up the middle for 9 yards (tackle by Jamar Taylor),1.990,2.670
2,12:14,2,1,ARI 45,0,8,Todd Gurley up the middle for no gain (tackle by Corey Peters and Robert Nkemdiche),2.670,1.950
2,11:38,,,,,,Timeout #1 by Los Angeles Rams,,
2,11:38,3,1,ARI 45,0,8,Jared Goff up the middle for 2 yards (tackle by Robert Nkemdiche),1.950,2.720
2,11:03,1,10,ARI 43,0,8,Jared Goff pass incomplete short right intended for Robert Woods,2.720,2.180
2,10:57,2,10,ARI 43,0,8,Jared Goff pass complete deep middle to Robert Woods for 21 yards (tackle by Tre Boston),2.180,4.110
2,10:23,1,10,ARI 22,0,8,Jared Goff pass complete short middle to Robert Woods for 9 yards (tackle by Budda Baker),4.110,5.060
2,9:58,2,1,ARI 13,0,8,Todd Gurley right end for 3 yards (tackle by Patrick Peterson and Antoine Bethea),5.060,4.910
2,9:37,1,10,ARI 10,0,8,Jared Goff pass complete short middle to Cooper Kupp for 4 yards (tackle by Antoine Bethea),4.910,4.950
2,8:52,2,6,ARI 6,0,8,Todd Gurley right tackle for 4 yards (tackle by Josh Bynes and Tre Boston),4.950,4.950
2,8:14,3,2,ARI 2,0,8,Jared Goff pass incomplete short left intended for Brandin Cooks (defended by Chandler Jones),4.950,3.250
2,8:11,4,2,ARI 2,0,11,Johnny Hekker 20 yard field goal good,3.250,3.000
2,8:07,,,LAR 35,0,11,"Johnny Hekker kicks off 65 yards, touchback.",0.000,0.610
2,8:07,1,10,ARI 25,0,11,"Penalty on Chase Edmonds: False Start, 5 yards (no play)",0.610,0.280
2,8:07,1,15,ARI 20,0,11,Sam Bradford pass complete short left to Larry Fitzgerald for 4 yards (tackle by Nickell Robey-Coleman),0.280,-0.070
2,7:27,2,11,ARI 24,0,11,Sam Bradford pass incomplete short right intended for Chad Williams (defended by Aqib Talib),-0.070,-0.760
2,7:23,3,11,ARI 24,0,11,Sam Bradford pass complete short right to Larry Fitzgerald for 15 yards (tackle by John Johnson),-0.760,1.530
2,6:35,1,10,ARI 39,0,11,"Sam Bradford right end for no gain (tackle by Ramik Wilson). Penalty on John Wetzel: Offensive Holding, 10 yards (no play)",1.530,0.870
2,6:07,1,20,ARI 29,0,11,David Johnson up the middle for 1 yard (tackle by Aaron Donald),0.870,-0.230
2,5:20,2,19,ARI 30,0,11,David Johnson up the middle for 4 yards (tackle by John Franklin-Myers),-0.230,-0.360
2,4:38,3,15,ARI 34,0,11,Sam Bradford pass incomplete deep right intended for Larry Fitzgerald (defended by Aqib Talib),-0.360,-1.110
2,4:33,4,15,ARI 34,0,11,"Andy Lee punts 58 yards, returned by Jojo Natson for 60 yards (tackle by Andy Lee)",-1.110,-3.450
2,4:18,1,10,ARI 32,0,11,Jared Goff pass complete short middle to Todd Gurley for 15 yards (tackle by Tre Boston),3.450,4.440
2,3:47,1,10,ARI 17,0,11,Jared Goff pass complete short right to Cooper Kupp for 6 yards (tackle by Antoine Bethea),4.440,4.890
2,3:25,2,4,ARI 11,0,11,Todd Gurley up the middle for 1 yard (tackle by Josh Bynes and Corey Peters),4.890,4.340
2,2:42,3,3,ARI 10,0,11,Todd Gurley up the middle for 4 yards (tackle by Gerald Hodges),4.340,5.830
2,2:00,1,6,ARI 6,0,11,Todd Gurley up the middle for 1 yard (tackle by Gerald Hodges),5.830,5.150
2,1:41,2,5,ARI 5,0,11,"Cooper Kupp right end for no gain (tackle by Gerald Hodges and Zach Moore). Penalty on Robert Woods: Offensive Holding, 10 yards (no play)",5.150,3.460
2,1:34,2,15,ARI 15,0,11,Jared Goff pass complete short right to Todd Gurley for 11 yards (tackle by Bene Benwikere and Patrick Peterson),3.460,4.490
2,0:50,3,4,ARI 4,0,11,"Penalty on Robert Nkemdiche: Neutral Zone Infraction, 2 yards (no play)",4.490,4.950
2,0:49,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:49,3,2,ARI 2,0,11,Todd Gurley up the middle for 1 yard (tackle by Benson Mayowa and Bene Benwikere),4.950,3.550
2,0:03,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:03,,,,,,Timeout #3 by Arizona Cardinals,,
2,0:03,4,1,ARI 1,0,17,"Todd Gurley up the middle for 1 yard, touchdown",3.550,7.000
2,0:00,,,ARI 2,0,19,"Two Point Attempt: Todd Gurley rushes, conversion succeeds.",0.000,1.000
Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,0,19,"Johnny Hekker kicks off 64 yards, returned by T.J. Logan for no gain (tackle by Justin Davis). Penalty on Cory Littleton: Face Mask (15 Yards), 15 yards",0.000,1.000
