Unnamed: 0,CLE,BAL
First Downs,20,24
Rush-Yds-TDs,21-93-0,32-136-1
Cmp-Att-Yd-TD-INT,20-42-300-1-4,25-34-217-2-1
Sacked-Yards,3-7,2-16
Net Pass Yards,293,201
Total Yards,386,337
Fumbles-Lost,2-1,1-1
Turnovers,5,2
Penalties-Yards,11-65,7-45
Third Down Conv.,2-12,4-11
Fourth Down Conv.,1-2,0-0
Time of Possession,26:36,33:24
