Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,CLE 25,0,0,Isaiah Crowell left end for 3 yards (tackle by Lardarius Webb),0.610,0.470
1,14:20,2,7,CLE 28,0,0,Isaiah Crowell right guard for no gain (tackle by Brandon Williams),0.470,-0.230
1,13:48,3,7,CLE 28,0,0,"Penalty on DeShone Kizer: Delay of Game, 5 yards (no play)",-0.230,-0.890
1,13:48,3,12,CLE 23,0,0,DeShone Kizer pass incomplete short right intended for Corey Coleman,-0.890,-1.830
1,13:22,4,12,CLE 23,0,0,"Britton Colquitt punts 49 yards, fair catch by Lardarius Webb",-1.830,-0.810
1,13:15,1,10,BAL 28,0,0,Terrance West left tackle for -1 yards (tackle by Jamie Collins),0.810,0.130
1,12:41,2,11,BAL 27,0,0,Joe Flacco pass complete short middle to Jeremy Maclin for 19 yards (tackle by Jamar Taylor),0.130,1.990
1,12:12,1,10,BAL 46,0,0,Joe Flacco pass complete short right to Ben Watson for 13 yards (tackle by Jamar Taylor),1.990,2.850
1,11:30,1,10,CLE 41,0,0,Terrance West left end for 2 yards (tackle by Trevon Coley),2.850,2.580
1,10:54,2,8,CLE 39,0,0,Joe Flacco pass incomplete short left intended for Breshad Perriman,2.580,1.880
1,10:50,3,8,CLE 39,0,0,Joe Flacco sacked by Christian Kirksey for -7 yards,1.880,0.200
1,10:14,4,15,CLE 46,0,0,"Sam Koch punts 37 yards, fair catch by Jabrill Peppers",0.200,0.380
1,10:06,1,10,CLE 9,0,0,Isaiah Crowell right guard for 9 yards (tackle by Eric Weddle),-0.380,0.140
1,9:32,2,1,CLE 18,0,0,Isaiah Crowell right guard for 2 yards (tackle by Brandon Williams and Michael Pierce),0.140,0.280
1,8:49,1,10,CLE 20,0,0,DeShone Kizer pass complete deep right to Randall Telfer for 20 yards (tackle by Tony Jefferson),0.280,1.600
1,8:17,1,10,CLE 40,0,0,DeShone Kizer pass complete short right to Kenny Britt for 2 yards (tackle by C.J. Mosley),1.600,1.320
1,7:43,2,8,CLE 42,0,0,DeShone Kizer pass incomplete deep left intended for Corey Coleman,1.320,0.630
1,7:38,3,8,CLE 42,0,0,"Penalty on Sammie Coates: False Start, 5 yards (no play)",0.630,-0.030
1,7:38,3,13,CLE 37,0,0,DeShone Kizer sacked by Terrell Suggs for -5 yards. DeShone Kizer fumbles (forced by Terrell Suggs),-0.030,-3.380
1,7:30,1,10,CLE 33,0,0,Joe Flacco pass complete short middle to Mike Wallace for 7 yards (tackle by Joe Schobert),3.380,3.780
1,7:01,2,3,CLE 26,0,0,Joe Flacco pass complete short right to Ben Watson for 5 yards (tackle by Jamar Taylor),3.780,4.170
1,6:25,1,10,CLE 21,0,0,Javorius Allen left guard for 3 yards (tackle by Christian Kirksey),4.170,4.040
1,5:52,2,7,CLE 18,0,0,Joe Flacco pass complete short middle to Nick Boyle for 9 yards (tackle by Christian Kirksey),4.040,5.140
1,5:17,1,9,CLE 9,0,0,Joe Flacco pass complete short right to Maxx Williams for -1 yards (tackle by Jamar Taylor),5.140,4.190
1,4:34,2,10,CLE 10,0,0,"Terrance West left guard for 2 yards (tackle by Jamie Collins). Penalty on Christian Kirksey: Unnecessary Roughness, 4 yards",4.190,6.280
1,4:02,1,4,CLE 4,0,6,"Terrance West left tackle for 4 yards, touchdown",6.280,7.000
1,3:56,,,CLE 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,3:56,,,BAL 35,0,7,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,3:56,1,10,CLE 25,0,7,"DeShone Kizer pass complete short right to Kenny Britt for 13 yards (tackle by Brandon Carr). Penalty on Kenny Britt: Offensive Pass Interference, 10 yards (no play)",0.610,-0.410
1,3:38,1,20,CLE 15,0,7,Isaiah Crowell left guard for 2 yards (tackle by C.J. Mosley and Kamalei Correa). Penalty on Seth Devalve: Illegal Formation (Declined),-0.410,-1.150
1,3:09,2,18,CLE 17,0,7,DeShone Kizer pass incomplete deep right intended for Corey Coleman (defended by Brandon Carr),-1.150,-1.930
1,3:01,3,18,CLE 17,0,7,DeShone Kizer pass complete deep middle to Rashard Higgins for 35 yards (tackle by Tony Jefferson),-1.930,2.390
1,2:27,1,10,BAL 48,0,7,DeShone Kizer pass complete short right to Duke Johnson for 16 yards (tackle by C.J. Mosley),2.390,3.450
1,1:51,1,10,BAL 32,0,7,Duke Johnson right guard for 3 yards (tackle by Tony Jefferson and C.J. Mosley),3.450,3.310
1,1:15,2,7,BAL 29,0,7,DeShone Kizer pass complete short right to David Njoku for 3 yards (tackle by Tony Jefferson),3.310,3.010
1,0:34,3,4,BAL 26,0,7,DeShone Kizer pass incomplete short left intended for Duke Johnson is intercepted by Eric Weddle at BAL-26 and returned for 2 yards,3.010,-0.810
1,0:28,1,10,BAL 28,0,7,Javorius Allen right guard for 2 yards (tackle by Derrick Kindred and Joe Schobert),0.810,0.530
Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,BAL 30,0,7,Michael Campanaro right end for 5 yards (tackle by Briean Boddy-Calhoun),0.530,0.500
2,14:27,3,3,BAL 35,0,7,Joe Flacco pass complete short right to Maxx Williams for 3 yards (tackle by Christian Kirksey),0.500,1.470
2,13:51,1,10,BAL 38,0,7,Joe Flacco pass incomplete deep left intended for Mike Wallace is intercepted by Jason McCourty at CLE-9,1.470,0.380
2,13:41,1,10,CLE 9,0,7,Isaiah Crowell right tackle for -1 yards (tackle by Brent Urban),-0.380,-0.850
2,13:07,2,11,CLE 8,0,7,DeShone Kizer left tackle for 13 yards (tackle by C.J. Mosley),-0.850,0.340
2,12:28,1,10,CLE 21,0,7,"DeShone Kizer sacked by C.J. Mosley for -7 yards. Penalty on Jimmy Smith: Defensive Holding, 5 yards (no play)",0.340,0.670
2,11:56,1,10,CLE 26,0,7,Duke Johnson left end for no gain (tackle by Patrick Onwuasor),0.670,0.130
2,11:37,2,10,CLE 26,0,7,DeShone Kizer pass incomplete deep right intended for Kenny Britt (defended by Brandon Carr),0.130,-0.560
2,11:29,3,10,CLE 26,0,7,DeShone Kizer pass complete short left to Rashard Higgins for 5 yards (tackle by C.J. Mosley),-0.560,-1.310
2,10:51,4,5,CLE 31,0,7,"Britton Colquitt punts 38 yards, returned by Michael Campanaro for 5 yards (tackle by Sammie Coates)",-1.310,-1.330
2,10:43,1,10,BAL 36,0,7,Terrance West left end for 12 yards (tackle by Jason McCourty),1.330,2.130
2,10:04,1,10,BAL 48,0,7,Javorius Allen right guard for -4 yards (tackle by Derrick Kindred),2.130,1.040
2,9:23,2,14,BAL 44,0,7,Joe Flacco pass complete deep right to Ben Watson for 20 yards (tackle by Jamar Taylor),1.040,3.180
2,8:40,1,10,CLE 36,0,7,Joe Flacco pass complete short middle to Ben Watson for 23 yards (tackle by Jabrill Peppers),3.180,4.710
2,7:58,1,10,CLE 13,0,7,Javorius Allen right guard for 4 yards (tackle by Trevon Coley),4.710,4.770
2,7:24,2,6,CLE 9,0,13,"Joe Flacco pass complete short right to Javorius Allen for 9 yards, touchdown",4.770,7.000
2,7:17,,,CLE 15,0,14,Justin Tucker kicks extra point good,0.000,0.000
2,7:17,,,BAL 35,0,14,"Justin Tucker kicks off 66 yards, returned by Jabrill Peppers for 18 yards (tackle by Chuck Clark)",0.000,0.060
2,7:12,1,10,CLE 17,0,14,Kevin Hogan pass incomplete short middle intended for Seth Devalve (defended by Brandon Carr),-0.060,-0.580
2,7:05,2,10,CLE 17,0,14,Kevin Hogan pass complete deep right to Seth Devalve for 49 yards (tackle by C.J. Mosley),-0.580,3.310
2,6:31,1,10,BAL 34,0,14,"Kevin Hogan pass incomplete deep left intended for Corey Coleman. Penalty on Carl Davis: Defensive 12 On-field, 5 yards (no play)",3.310,4.040
,,,,,,,"CLE challenged the incomplete pass ruling, and the play was upheld.",,
2,6:27,1,5,BAL 29,0,14,Kevin Hogan right end for 5 yards (tackle by Brent Urban and Brandon Williams),4.040,3.970
2,5:45,1,10,BAL 24,0,14,Isaiah Crowell left guard for 1 yard (tackle by Brent Urban),3.970,3.570
2,5:04,2,9,BAL 23,6,14,"Kevin Hogan pass complete deep right to David Njoku for 23 yards, touchdown",3.570,7.000
2,4:56,,,BAL 15,7,14,Zane Gonzalez kicks extra point good,0.000,0.000
2,4:56,,,CLE 35,7,14,"Zane Gonzalez kicks off 65 yards, touchback",0.000,-0.610
2,4:56,1,10,BAL 25,7,14,Joe Flacco pass complete short middle to Terrance West for 15 yards (tackle by Jamie Collins),0.610,1.600
2,4:21,1,10,BAL 40,7,14,Terrance West left guard for 1 yard (tackle by Jamie Collins),1.600,1.190
2,3:41,2,9,BAL 41,7,14,Joe Flacco pass incomplete short right intended for Jeremy Maclin (defended by Jason McCourty),1.190,0.500
2,3:35,3,9,BAL 41,7,14,Joe Flacco sacked by James Burgess for -9 yards,0.500,-1.240
2,2:58,4,18,BAL 32,7,14,"Sam Koch punts 54 yards, returned by Jabrill Peppers for 8 yards (tackle by Anthony Levine). Penalty on David Njoku: Unnecessary Roughness, 7 yards",-1.240,0.380
2,2:47,1,10,CLE 7,7,14,Kevin Hogan sacked by Tyus Bowser for -2 yards. Penalty on Shon Coleman: Offensive Holding (Declined),-0.380,-0.930
2,2:27,2,12,CLE 5,7,14,Duke Johnson middle for 2 yards (tackle by Tyus Bowser),-0.930,-1.420
2,2:00,3,10,CLE 7,7,14,Kevin Hogan pass incomplete deep middle intended for Rashard Higgins (defended by Lardarius Webb),-1.420,-2.490
2,1:53,4,10,CLE 7,7,14,"Penalty on B.J. Bello: False Start, 4 yards (no play)",-2.490,-2.490
2,1:53,4,14,CLE 3,7,14,"Britton Colquitt punts 55 yards, returned by Michael Campanaro for 11 yards (tackle by Matthew Dayes). Penalty on Patrick Onwuasor: Offensive Holding, 10 yards",-2.490,-1.070
2,1:43,1,10,BAL 32,7,14,Joe Flacco pass complete short middle to Javorius Allen for 11 yards (tackle by Christian Kirksey and Jason McCourty),1.070,1.800
2,1:21,1,10,BAL 43,7,14,Joe Flacco pass complete short middle to Ben Watson for 13 yards (tackle by Derrick Kindred),1.800,0.000
2,1:16,,,,,,Timeout #1 by Baltimore Ravens,0.000,-2.650
2,1:16,1,10,CLE 44,7,14,Joe Flacco pass incomplete short middle intended for Breshad Perriman,2.650,2.110
2,1:11,2,10,CLE 44,7,14,Joe Flacco pass complete short middle to Javorius Allen for 4 yards (tackle by Jamie Collins),2.110,0.000
2,1:07,,,,,,Timeout #2 by Baltimore Ravens,0.000,-1.950
2,1:07,3,6,CLE 40,7,14,Joe Flacco pass incomplete short left intended for Breshad Perriman,1.950,0.590
2,1:01,4,6,CLE 40,7,14,Justin Tucker 58 yard field goal no good,0.590,-2.130
2,0:57,1,10,CLE 48,7,14,Kevin Hogan pass complete short left to Rashard Higgins for 8 yards (tackle by Jimmy Smith),2.130,2.660
2,0:51,2,2,BAL 44,7,14,Kevin Hogan pass complete short right to Rashard Higgins for 4 yards (tackle by Lardarius Webb),2.660,2.920
2,0:29,1,10,BAL 40,7,14,"Penalty on Shon Coleman: False Start, 5 yards (no play)",2.920,0.000
2,0:29,,,,,,Timeout #2 by Cleveland Browns,0.000,-2.590
2,0:29,1,15,BAL 45,7,14,Kevin Hogan pass incomplete short middle intended for Rashard Higgins is intercepted by Tyus Bowser at BAL-33 and returned for 27 yards,2.590,-2.920
2,0:19,1,10,CLE 40,7,14,Joe Flacco pass complete short right to Jeremy Maclin for 1 yard (tackle by Jamar Taylor),2.920,2.510
2,0:15,2,9,CLE 39,7,14,Javorius Allen left guard for 37 yards (tackle by Briean Boddy-Calhoun),2.510,0.000
2,0:05,,,,,,Timeout #3 by Baltimore Ravens,0.000,-6.740
2,0:05,1,2,CLE 2,7,20,"Joe Flacco pass complete short right to Jeremy Maclin for 2 yards, touchdown",6.740,7.000
2,0:01,,,CLE 15,7,21,Justin Tucker kicks extra point good,0.000,0.000
2,0:01,,,BAL 35,7,21,"Justin Tucker kicks onside 24 yards, recovered by Ibraheim Campbell",0.000,0.000
2,,,,,7,21,--,0.000,0.000
Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,7,21,"Zane Gonzalez kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,BAL 25,7,21,Terrance West left guard for 2 yards (tackle by Trevon Coley),0.610,0.330
3,14:29,2,8,BAL 27,7,21,Joe Flacco pass complete short middle to Maxx Williams for 13 yards (tackle by Jamie Collins),0.330,1.600
3,13:46,1,10,BAL 40,7,21,Terrance West right guard for no gain (tackle by Jamie Collins),1.600,1.050
3,13:06,2,10,BAL 40,7,21,Javorius Allen right guard for 4 yards (tackle by Trevon Coley),1.050,0.890
3,12:31,3,6,BAL 44,7,21,Joe Flacco pass incomplete short middle intended for Mike Wallace,0.890,-0.460
3,12:28,4,6,BAL 44,7,21,"Sam Koch punts 56 yards, touchback. Penalty on Ibraheim Campbell: Defensive Offside, 5 yards (no play)",-0.460,-0.130
3,12:20,4,1,BAL 49,7,21,Sam Koch punts 33 yards,-0.130,-0.040
