Unnamed: 0,WAS,PHI
First Downs,25,18
Rush-Yds-TDs,49-152-2,20-94-1
Cmp-Att-Yd-TD-INT,17-29-211-0-1,17-26-175-2-1
Sacked-Yards,3-33,1-5
Net Pass Yards,178,170
Total Yards,330,264
Fumbles-Lost,2-1,3-3
Turnovers,2,4
Penalties-Yards,5-58,7-75
Third Down Conv.,12-21,5-8
Fourth Down Conv.,1-1,0-0
Time of Possession,40:24,19:36
