Quarter,Time,Tm,Detail,WAS,PHI
1.0,12:21,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),0,7
,5:00,Commanders,Antonio Gibson 1 yard rush (Joey Slye kick),7,7
,1:30,Eagles,Dallas Goedert 6 yard pass from Jalen Hurts (Jake Elliott kick),7,14
2.0,10:00,Commanders,Joey Slye 44 yard field goal,10,14
,1:39,Commanders,Brian Robinson Jr. 1 yard rush (Joey Slye kick),17,14
,0:00,Commanders,Joey Slye 58 yard field goal,20,14
3.0,5:13,Commanders,Joey Slye 32 yard field goal,23,14
4.0,14:54,Eagles,DeVonta Smith 11 yard pass from Jalen Hurts (Jake Elliott kick),23,21
,7:33,Commanders,Joey Slye 55 yard field goal,26,21
,0:00,Commanders,Casey Toohill 1 yard fumble return,32,21
