Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Terry McLaurin,WAS,11,8,128,0,5,97,12.1,31,3.9,17.1,0,,0,0.0,1,73.3
Antonio Gibson,WAS,3,3,14,0,0,-2,-0.7,16,5.3,-0.7,1,3.0,0,0.0,0,86.1
Curtis Samuel,WAS,4,2,28,0,2,11,5.5,17,8.5,10.3,1,2.0,0,0.0,0,72.9
Logan Thomas,WAS,4,2,12,0,,11,5.5,1,0.5,4.8,0,,0,0.0,0,56.2
Dyami Brown,WAS,1,1,15,0,1,15,15.0,0,0.0,15.0,0,,0,0.0,0,118.7
Jahan Dotson,WAS,1,1,14,0,1,9,9.0,5,5.0,9.0,0,,0,0.0,0,118.7
Cam Sims,WAS,1,0,0,0,,0,,0,,13.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
DeVonta Smith,PHI,8,6,39,1,3,15,2.5,24,4.0,5.9,1,6.0,1,12.5,0,124.5
Quez Watkins,PHI,4,4,80,0,2,61,15.3,19,4.8,15.3,0,,0,0.0,0,118.7
Dallas Goedert,PHI,3,3,23,1,2,10,3.3,13,4.3,3.3,0,,0,0.0,0,138.2
A.J. Brown,PHI,4,1,7,0,1,7,7.0,0,0.0,15.8,0,,0,0.0,1,0.0
Kenneth Gainwell,PHI,2,1,5,0,,1,1.0,4,4.0,1.5,0,,1,50.0,0,56.2
Zach Pascal,PHI,2,1,10,0,1,5,5.0,5,5.0,5.0,0,,1,50.0,0,64.6
Jack Stoll,PHI,1,1,11,0,1,11,11.0,0,0.0,11.0,0,,0,0.0,0,112.5
Miles Sanders,PHI,1,0,0,0,0,0,,0,,-3.0,0,,0,0.0,0,39.6
