Unnamed: 0,DEN,SDG
First Downs,17,15
Rush-Yds-TDs,40-157-3,20-91-1
Cmp-Att-Yd-TD-INT,10-22-98-0-0,20-36-183-0-1
Sacked-Yards,2-14,6-38
Net Pass Yards,84,145
Total Yards,241,236
Fumbles-Lost,1-0,3-1
Turnovers,0,2
Penalties-Yards,4-22,8-70
Third Down Conv.,3-14,2-14
Fourth Down Conv.,2-2,1-3
Time of Possession,33:22,26:38
