Unnamed: 0,SFO,BAL
First Downs,12,16
Rush-Yds-TDs,21-74-0,35-92-0
Cmp-Att-Yd-TD-INT,15-24-140-0-1,15-23-161-1-0
Sacked-Yards,9-44,0-0
Net Pass Yards,96,161
Total Yards,170,253
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,7-97,3-20
Third Down Conv.,2-12,7-15
Fourth Down Conv.,1-2,0-0
Time of Possession,28:52,31:08
