Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"David Akers kicks off 74 yards, touchback. Penalty on Colin Jones: Offside on Free Kick, 5 yards",0.000,0.610
1,15:00,1,10,BAL 25,0,0,Ray Rice right guard for 3 yards (tackle by Isaac Sopoaga and Navorro Bowman),0.610,0.470
1,14:27,2,7,BAL 28,0,0,Ray Rice right guard for 3 yards (tackle by Isaac Sopoaga and Navorro Bowman),0.470,0.170
1,13:48,3,4,BAL 31,0,0,Joe Flacco pass complete short middle to Anquan Boldin for 22 yards (tackle by Chris Culliver and Donte Whitner),0.170,2.460
1,13:09,1,10,SFO 47,0,0,Joe Flacco pass complete short middle to Anquan Boldin for 16 yards (tackle by Dashon Goldson and Donte Whitner),2.460,3.510
1,12:35,1,10,SFO 31,0,0,Joe Flacco pass complete short middle to Ray Rice for 1 yard (tackle by Patrick Willis),3.510,3.100
1,11:53,2,9,SFO 30,0,0,Ray Rice left tackle for 10 yards (tackle by Dashon Goldson),3.100,4.240
1,11:19,1,10,SFO 20,0,0,Ricky Williams right guard for no gain (tackle by Ray McDonald and Navorro Bowman),4.240,3.690
1,10:41,2,10,SFO 20,0,0,Joe Flacco pass incomplete short middle intended for Ricky Williams (defended by Patrick Willis),3.690,3.010
1,10:33,3,10,SFO 20,0,0,Joe Flacco pass incomplete deep right intended for Anquan Boldin,3.010,2.120
1,10:26,4,10,SFO 20,0,3,Billy Cundiff 39 yard field goal good,2.120,3.000
1,,,,BAL 35,0,3,"Billy Cundiff kicks off 64 yards, returned by Ted Ginn Jr. for 28 yards (tackle by Haruki Nakamura)",0.000,0.870
1,10:21,1,10,SFO 29,0,3,Alex Smith pass complete short right to Vernon Davis for 2 yards (tackle by Lardarius Webb),0.870,0.600
1,9:41,2,8,SFO 31,0,3,Alex Smith pass complete short right to Michael Crabtree for 5 yards (tackle by Lardarius Webb and Bernard Pollard),0.600,0.560
1,9:04,3,3,SFO 36,0,3,Alex Smith sacked by Tom Zbikowski for -1 yards,0.560,-1.040
1,8:25,4,4,SFO 35,0,3,"Andy Lee punts 59 yards, returned by Lardarius Webb for 4 yards (tackle by Blake Costanzo)",-1.040,0.380
1,8:13,1,10,BAL 10,0,3,Ray Rice left guard for 1 yard (tackle by Ray McDonald),-0.380,-0.710
1,7:37,2,9,BAL 11,0,3,Ray Rice left tackle for 7 yards (tackle by Ahmad Brooks and Patrick Willis),-0.710,-0.480
1,6:54,3,2,BAL 18,0,3,Joe Flacco pass incomplete short right intended for Anquan Boldin,-0.480,-2.240
1,6:50,4,2,BAL 18,0,3,"Sam Koch punts 50 yards, fair catch by Ted Ginn Jr.",-2.240,-1.070
1,6:41,1,10,SFO 32,0,3,Frank Gore left tackle for 4 yards (tackle by Jarret Johnson),1.070,1.070
1,5:57,2,6,SFO 36,0,3,Frank Gore right tackle for 4 yards (tackle by Haloti Ngata),1.070,0.890
1,5:07,,,,0,3,Timeout #1 by San Francisco 49ers,0.000,0.890
1,5:07,3,2,SFO 40,0,3,Alex Smith pass complete short right to Vernon Davis for 20 yards (tackle by Tom Zbikowski),0.890,2.920
1,4:35,1,10,BAL 40,0,3,Ted Ginn Jr. left end for 9 yards (tackle by Bernard Pollard),2.920,3.590
1,4:07,2,1,BAL 31,0,3,Frank Gore up the middle for 3 yards (tackle by Bernard Pollard and Jameel McClain),3.590,3.710
1,3:26,1,10,BAL 28,0,3,Alex Smith pass incomplete short right intended for Vernon Davis,3.710,3.170
1,3:20,2,10,BAL 28,0,3,Frank Gore right guard for 6 yards (tackle by Cory Redding and Jameel McClain),3.170,3.270
1,2:38,3,4,BAL 22,0,3,Alex Smith sacked by Haloti Ngata for -5 yards,3.270,1.670
1,2:04,4,9,BAL 27,3,3,David Akers 45 yard field goal good,1.670,3.000
1,,,,SFO 35,3,3,"David Akers kicks off 71 yards, touchback. Penalty on C.J. Spillman: Offside on Free Kick, 5 yards",0.000,0.610
1,1:59,1,10,BAL 25,3,3,Joe Flacco pass complete short right to Torrey Smith for 12 yards (tackle by Navorro Bowman),0.610,1.400
1,1:22,1,10,BAL 37,3,3,Joe Flacco pass complete short middle to Anquan Boldin for 18 yards (tackle by Dashon Goldson),1.400,2.590
1,0:43,1,10,SFO 45,3,3,Ray Rice left guard for 1 yard (tackle by Ahmad Brooks and Parys Haralson),2.590,2.180
1,0:03,2,9,SFO 44,3,3,Ray Rice left guard for 3 yards (tackle by Ray McDonald),2.180,1.880
Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,SFO 41,3,3,Joe Flacco pass incomplete short left intended for Anquan Boldin,1.880,0.530
2,15:00,4,6,SFO 41,3,3,"Sam Koch punts 41 yards, touchback",0.530,-0.280
2,14:46,1,10,SFO 20,3,3,Alex Smith pass complete short right to Michael Crabtree for 5 yards (tackle by Jarret Johnson),0.280,0.410
2,14:08,2,5,SFO 25,3,3,"Alex Smith pass complete deep middle to Ted Ginn Jr. for 75 yards. Penalty on Frank Gore: Chop Block, 12 yards (no play)",0.410,-1.280
2,13:55,2,17,SFO 13,3,3,Frank Gore up the middle for -1 yards (tackle by Haloti Ngata),-1.280,-2.360
2,13:15,3,18,SFO 12,3,3,"Frank Gore right tackle for 4 yards (tackle by Terrell Suggs). Penalty on Terrell Suggs: Defensive Offside, 5 yards (no play)",-2.360,-1.510
2,12:47,3,13,SFO 17,3,3,Alex Smith sacked by Cory Redding for -8 yards,-1.510,-2.490
2,12:16,4,21,SFO 9,3,3,"Andy Lee punts 57 yards, returned by Lardarius Webb for 25 yards (tackle by Anthony Dixon). Penalty on Kris Wilson: Illegal Block Above the Waist, 10 yards",-2.490,-1.270
2,12:03,1,10,BAL 35,3,3,Ray Rice left tackle for no gain (tackle by Isaac Sopoaga and Justin Smith),1.270,0.720
2,11:25,2,10,BAL 35,3,3,Ray Rice right guard for 3 yards (tackle by Parys Haralson),0.720,0.430
2,10:44,3,7,BAL 38,3,3,Joe Flacco up the middle for 6 yards (tackle by Donte Whitner),0.430,-0.460
2,10:01,4,1,BAL 44,3,3,"Sam Koch punts 43 yards, fair catch by Ted Ginn Jr.",-0.460,0.320
2,9:52,1,10,SFO 13,3,3,Kendall Hunter right end for 9 yards (tackle by Jameel McClain),-0.320,0.490
2,9:22,2,1,SFO 22,3,3,Kendall Hunter left end for 2 yards (tackle by Bernard Pollard),0.490,0.540
2,8:42,1,10,SFO 24,3,3,Alex Smith sacked by Cory Redding for -2 yards,0.540,-0.270
2,8:12,2,12,SFO 22,3,3,Frank Gore right end for no gain (tackle by Bernard Pollard),-0.270,-0.960
2,7:28,3,12,SFO 22,3,3,"Penalty on Delanie Walker: False Start, 5 yards (no play)",-0.960,-1.850
2,7:02,3,17,SFO 17,3,3,Frank Gore left end for 3 yards (tackle by Pernell McPhee),-1.850,-2.030
2,6:23,4,14,SFO 20,3,3,"Andy Lee punts 54 yards, returned by Lardarius Webb for 9 yards (tackle by Blake Costanzo)",-2.030,-1.270
2,6:15,1,10,BAL 35,3,3,"Joe Flacco pass incomplete deep middle intended for Torrey Smith is intercepted by Tarell Brown at SFO-10 and returned for 31 yards (tackle by Ed Dickson). Penalty on Tarell Brown: Defensive Pass Interference, 50 yards (no play)",1.270,4.580
2,5:58,1,10,SFO 15,3,3,Ray Rice right tackle for 9 yards (tackle by Donte Whitner),4.580,5.600
2,5:20,2,1,SFO 6,3,3,Vonta Leach up the middle for 2 yards (tackle by Justin Smith),5.600,6.280
2,4:47,1,4,SFO 4,3,3,Ray Rice right guard for 3 yards (tackle by Patrick Willis),6.280,5.910
2,4:10,2,1,SFO 1,3,3,Ray Rice right end for -4 yards (tackle by C.J. Spillman),5.910,4.260
2,3:30,3,5,SFO 5,3,3,Joe Flacco up the middle for no gain (tackle by Aldon Smith),4.260,3.010
2,2:56,4,5,SFO 5,3,6,Billy Cundiff 23 yard field goal good,3.010,3.000
2,,,,BAL 35,3,6,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
2,2:51,1,10,SFO 20,3,6,Frank Gore right guard for 2 yards (tackle by Jameel McClain),0.280,0.000
