Quarter,Time,Tm,Detail,SFO,BAL
1.0,10:21,Ravens,Billy Cundiff 39 yard field goal,0,3
,1:59,49ers,David Akers 45 yard field goal,3,3
2.0,2:51,Ravens,Billy Cundiff 23 yard field goal,3,6
3.0,7:30,49ers,David Akers 52 yard field goal,6,6
4.0,14:56,Ravens,Dennis Pitta 8 yard pass from Joe Flacco (Billy Cundiff kick),6,13
,3:10,Ravens,Billy Cundiff 39 yard field goal,6,16
