Unnamed: 0,NOR,TAM
First Downs,15,17
Rush-Yds-TDs,29-115-0,34-169-0
Cmp-Att-Yd-TD-INT,14-21-169-2-0,13-22-118-1-1
Sacked-Yards,7-37,1-4
Net Pass Yards,132,114
Total Yards,247,283
Fumbles-Lost,2-1,3-3
Turnovers,1,4
Penalties-Yards,8-69,5-45
Third Down Conv.,3-13,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,30:05,29:55
