Unnamed: 0,OAK,KAN
First Downs,15,23
Rush-Yds-TDs,11-70-1,33-165-2
Cmp-Att-Yd-TD-INT,24-41-211-1-2,20-34-268-0-1
Sacked-Yards,3-13,4-25
Net Pass Yards,198,243
Total Yards,268,408
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,7-39,7-69
Third Down Conv.,5-13,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,23:20,36:40
