Unnamed: 0,SFO,ARI
First Downs,19,23
Rush-Yds-TDs,18-107-2,29-84-1
Cmp-Att-Yd-TD-INT,23-40-288-1-0,23-37-301-3-0
Sacked-Yards,1-2,3-18
Net Pass Yards,286,283
Total Yards,393,367
Fumbles-Lost,2-2,3-1
Turnovers,2,1
Penalties-Yards,8-62,11-85
Third Down Conv.,1-9,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,24:58,35:02
