Unnamed: 0,SEA,ARI
First Downs,16,18
Rush-Yds-TDs,30-130-2,24-93-0
Cmp-Att-Yd-TD-INT,10-21-195-2-0,25-46-205-0-4
Sacked-Yards,1-2,2-12
Net Pass Yards,193,193
Total Yards,323,286
Fumbles-Lost,0-0,4-2
Turnovers,0,6
Penalties-Yards,8-64,4-40
Third Down Conv.,6-12,10-18
Fourth Down Conv.,0-0,0-1
Time of Possession,26:29,33:31
