Unnamed: 0,WAS,STL
First Downs,16,14
Rush-Yds-TDs,40-196-1,17-45-0
Cmp-Att-Yd-TD-INT,15-29-143-1-2,20-43-164-1-0
Sacked-Yards,0-0,7-37
Net Pass Yards,143,127
Total Yards,339,172
Fumbles-Lost,3-0,4-1
Turnovers,2,1
Penalties-Yards,10-96,9-65
Third Down Conv.,9-18,6-18
Fourth Down Conv.,0-0,1-2
Time of Possession,35:10,24:50
