Quarter,Time,Tm,Detail,WAS,STL
1.0,3:06,Redskins,Santana Moss 6 yard pass from Rex Grossman (Graham Gano kick),7,0
2.0,5:42,Redskins,Ryan Torain 20 yard rush (Graham Gano kick),14,0
3.0,11:08,Redskins,Graham Gano 38 yard field goal,17,0
4.0,10:09,Rams,Josh Brown 32 yard field goal,17,3
,5:45,Rams,Steven Jackson 15 yard pass from Sam Bradford (Josh Brown kick),17,10
