Unnamed: 0,BAL,PIT
First Downs,22,23
Rush-Yds-TDs,26-122-1,22-127-1
Cmp-Att-Yd-TD-INT,30-44-262-1-1,24-33-279-3-2
Sacked-Yards,2-16,0-0
Net Pass Yards,246,279
Total Yards,368,406
Fumbles-Lost,2-0,0-0
Turnovers,1,2
Penalties-Yards,7-95,4-45
Third Down Conv.,9-17,3-7
Fourth Down Conv.,0-1,0-0
Time of Possession,34:37,25:23
