Unnamed: 0,BAL,NOR
First Downs,23,13
Rush-Yds-TDs,40-188-2,15-48-0
Cmp-Att-Yd-TD-INT,12-22-133-1-0,20-30-223-1-1
Sacked-Yards,3-2,4-28
Net Pass Yards,131,195
Total Yards,319,243
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,5-31,5-40
Third Down Conv.,9-15,3-11
Fourth Down Conv.,0-0,1-1
Time of Possession,37:47,22:13
