Quarter,Time,Tm,Detail,BAL,NOR
1.0,1:31,Ravens,Isaiah Likely 24 yard pass from Lamar Jackson (Justin Tucker kick),7,0
2.0,2:06,Ravens,Kenyan Drake 1 yard rush (Justin Tucker kick),14,0
,0:00,Saints,Wil Lutz 33 yard field goal,14,3
3.0,8:25,Ravens,Justin Tucker 32 yard field goal,17,3
,1:25,Saints,Wil Lutz 37 yard field goal,17,6
4.0,8:31,Ravens,Justin Tucker 41 yard field goal,20,6
,6:55,Ravens,Kenyan Drake 3 yard rush (Justin Tucker kick),27,6
,4:13,Saints,Juwan Johnson 41 yard pass from Andy Dalton (Wil Lutz kick),27,13
