Unnamed: 0,JAX,IND
First Downs,20,23
Rush-Yds-TDs,27-128-0,18-87-0
Cmp-Att-Yd-TD-INT,23-30-300-2-1,27-40-368-3-0
Sacked-Yards,3-14,1-9
Net Pass Yards,286,359
Total Yards,414,446
Fumbles-Lost,2-1,2-2
Turnovers,2,2
Penalties-Yards,6-48,12-62
Third Down Conv.,5-11,6-10
Fourth Down Conv.,0-1,0-0
Time of Possession,34:34,25:26
