Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 57 yards, returned by James Mungro for no gain",,
1,15:00,1,10,IND 13,0,0,"Peyton Manning pass incomplete intended for Reggie Wayne. Penalty on Greg Favors: Defensive Offside, 5 yards (no play)",-0.320,0.400
1,14:51,1,5,IND 18,0,0,Edgerrin James right end for 1 yard (tackle by Donovin Darius),0.400,0.030
1,14:17,2,4,IND 19,0,0,Edgerrin James up the middle for 3 yards (tackle by John Henderson and Marcus Stroud),0.030,-0.350
1,13:38,3,1,IND 22,0,0,Peyton Manning pass complete to James Mungro for 16 yards (tackle by Daryl Smith),-0.350,1.470
1,13:03,1,10,IND 38,0,0,Peyton Manning pass complete to Reggie Wayne for 15 yards (tackle by Dewayne Washington),1.470,2.460
1,12:19,1,10,JAX 47,0,0,Edgerrin James right end for 4 yards (tackle by Rashean Mathis),2.460,2.450
1,11:47,2,6,JAX 43,0,0,"Penalty on Tarik Glenn: False Start, 5 yards (no play)",2.450,1.780
1,11:28,2,11,JAX 48,0,0,Edgerrin James up the middle for 1 yard (tackle by John Henderson),1.780,1.220
1,10:46,3,10,JAX 47,0,0,Peyton Manning pass incomplete intended for Brandon Stokley,1.220,0.130
1,10:41,4,10,JAX 47,0,0,"Hunter Smith punts 39 yards, returned by Troy Edwards for 12 yards (tackle by Joe Jefferson)",0.130,-0.280
1,10:32,1,10,JAX 20,0,0,Byron Leftwich pass complete to Reggie Williams for 13 yards (tackle by Nick Harper),0.280,1.140
1,9:58,1,10,JAX 33,0,0,Fred Taylor up the middle for 2 yards (tackle by Jim Nelson and Montae Reagor),1.140,0.860
1,9:16,2,8,JAX 35,0,0,Fred Taylor up the middle for 8 yards (tackle by Jim Nelson and Mike Doss),0.860,1.800
1,8:31,1,10,JAX 43,0,0,Byron Leftwich pass complete to Fred Taylor for 8 yards (tackle by Jim Nelson),1.800,2.330
1,7:54,2,2,IND 49,0,0,Fred Taylor up the middle for 1 yard (tackle by Larry Tripplett and Rob Morris),2.330,1.750
1,7:16,3,1,IND 48,0,0,Fred Taylor up the middle for no gain (tackle by Josh Williams),1.750,0.070
1,6:37,4,1,IND 48,0,0,"Chris Hanson punts 36 yards, fair catch by Jason David",0.070,0.350
1,6:30,1,10,IND 12,0,0,Peyton Manning pass incomplete intended for Edgerrin James (defended by Marcus Stroud),-0.350,-0.780
1,6:26,2,10,IND 12,0,0,Edgerrin James up the middle for 4 yards (tackle by Marcus Stroud and Donovin Darius),-0.780,-0.950
1,5:46,3,6,IND 16,0,0,Peyton Manning pass complete to Brandon Stokley for 11 yards (tackle by Dewayne Washington). Penalty on Greg Favors: Defensive Offside (Declined),-0.950,0.740
1,5:20,1,10,IND 27,0,0,Peyton Manning pass complete to Edgerrin James for 6 yards (tackle by Daryl Smith),0.740,1.010
1,4:47,2,4,IND 33,0,0,Edgerrin James up the middle for 3 yards (tackle by Mike Peterson),1.010,0.700
1,4:05,3,1,IND 36,0,0,Edgerrin James right end for 7 yards (tackle by Mike Peterson),0.700,1.800
1,3:23,1,10,IND 43,0,0,Edgerrin James left end for 3 yards (tackle by Deon Grant),1.800,1.660
1,2:42,2,7,IND 46,0,0,"Peyton Manning pass complete to Brandon Stokley for 2 yards (tackle by Donovin Darius). Brandon Stokley fumbles (forced by Donovin Darius), recovered by Mike Peterson at IND-48 (tackle by Brandon Stokley)",1.660,-2.390
1,2:30,1,10,IND 48,0,0,Byron Leftwich pass complete to Fred Taylor for 11 yards (tackle by Cato June),2.390,3.120
1,1:50,1,10,IND 37,0,0,"Fred Taylor up the middle for 4 yards (tackle by Idrees Bashir). Penalty on Montae Reagor: Defensive Offside, 5 yards (no play)",3.120,3.850
1,1:27,1,5,IND 32,0,0,"Fred Taylor left tackle for 3 yards (tackle by Idrees Bashir). Fred Taylor fumbles (forced by Idrees Bashir), recovered by Chris Naeole at IND-29",3.850,3.650
1,0:46,2,2,IND 29,0,0,Byron Leftwich pass complete to Jimmy Smith for 7 yards (tackle by Jason David),3.650,4.110
1,0:08,1,10,IND 22,0,0,Fred Taylor up the middle for 13 yards (tackle by Cato June and Idrees Bashir),4.110,5.140
Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,IND 9,0,0,Fred Taylor up the middle for 6 yards (tackle by Cato June),5.140,5.530
2,14:20,2,3,IND 3,0,0,Fred Taylor up the middle for -1 yards (tackle by David Thornton and Rob Morris),5.530,4.490
2,13:35,3,4,IND 4,6,0,"Byron Leftwich pass complete to Kyle Brady for 4 yards, touchdown",4.490,7.000
2,,,,IND 2,7,0,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,7,0,"Josh Scobee kicks off 70 yards, returned by Dominic Rhodes for 16 yards (tackle by Tommy Hendricks). Penalty on Makoa Freitas: Offensive Holding, 8 yards",0.000,-0.380
2,13:21,1,10,IND 8,7,0,"Penalty on Jeff Saturday: False Start, 4 yards (no play)",-0.380,-0.530
2,13:21,1,14,IND 4,7,0,"Peyton Manning pass incomplete intended for Brandon Stokley. Penalty on Deon Grant: Defensive Pass Interference, 18 yards (no play)",-0.530,0.410
