Quarter,Time,Tm,Detail,JAX,IND
2.0,13:27,Jaguars,Kyle Brady 4 yard pass from Byron Leftwich (Josh Scobee kick),7,0
,9:23,Colts,Marvin Harrison 7 yard pass from Peyton Manning (Mike Vanderjagt kick),7,7
,1:52,Jaguars,Josh Scobee 26 yard field goal,10,7
,0:12,Colts,Dallas Clark 17 yard pass from Peyton Manning (Mike Vanderjagt kick),10,14
3.0,3:11,Jaguars,Josh Scobee 32 yard field goal,13,14
4.0,14:52,Jaguars,Josh Scobee 26 yard field goal,16,14
,9:32,Colts,Mike Vanderjagt 34 yard field goal,16,17
,6:14,Jaguars,Jimmy Smith 25 yard pass from Byron Leftwich (Ernest Wilford pass from Byron Leftwich),24,17
,3:52,Colts,Marvin Harrison 39 yard pass from Peyton Manning (Mike Vanderjagt kick),24,24
,0:38,Jaguars,Josh Scobee 53 yard field goal,27,24
