Unnamed: 0,ARI,SEA
First Downs,21,13
Rush-Yds-TDs,40-253-2,20-91-0
Cmp-Att-Yd-TD-INT,15-27-167-1-0,16-31-169-1-0
Sacked-Yards,2-8,5-36
Net Pass Yards,159,133
Total Yards,412,224
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,5-47,7-55
Third Down Conv.,5-15,1-12
Fourth Down Conv.,1-1,0-1
Time of Possession,34:53,25:07
