Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 61 yards, returned by Pharoh Cooper for 30 yards (tackle by Jason Myers)",0.000,1.200
1,14:53,1,10,ARI 34,0,0,Kenyan Drake left end for 2 yards (tackle by Tre Flowers and Jarran Reed),1.200,0.930
1,14:20,2,8,ARI 36,0,0,Kyler Murray pass complete short middle to Larry Fitzgerald for 4 yards (tackle by Tre Flowers),0.930,0.760
1,13:38,3,4,ARI 40,0,0,Kyler Murray pass incomplete short right intended for Christian Kirk (defended by Rasheem Green),0.760,-0.720
1,13:35,4,4,ARI 40,0,0,"Andy Lee punts 49 yards, fair catch by David Moore at SEA-11",-0.720,0.370
1,13:27,1,10,SEA 11,0,0,Chris Carson left tackle for 10 yards (tackle by Patrick Peterson),-0.370,0.340
1,12:49,1,10,SEA 21,0,0,Chris Carson right tackle for -2 yards (tackle by Budda Baker),0.340,-0.530
1,12:09,2,12,SEA 19,0,0,Russell Wilson pass complete short right to Jacob Hollister for 20 yards (tackle by Budda Baker),-0.530,1.530
1,11:32,1,10,SEA 39,0,0,Russell Wilson sacked by Cassius Marsh for no gain,1.530,0.990
1,11:01,2,10,SEA 39,0,0,Chris Carson right guard for 16 yards (tackle by Jalen Thompson),0.990,2.590
1,10:18,1,10,ARI 45,0,0,David Moore left end for 19 yards (tackle by Byron Murphy),2.590,3.840
1,9:39,1,10,ARI 26,0,0,Russell Wilson pass incomplete deep left intended for David Moore,3.840,3.300
1,9:34,2,10,ARI 26,0,0,Russell Wilson pass complete short right to Malik Turner for 23 yards (tackle by Cassius Marsh),3.300,6.510
1,8:54,,,,,,Timeout #1 by Seattle Seahawks,,
1,8:54,1,3,ARI 3,0,6,"Russell Wilson pass complete short right to Nick Bellore for 3 yards, touchdown",6.510,7.000
1,8:50,,,ARI 15,0,7,Jason Myers kicks extra point good,0.000,0.000
1,8:50,,,SEA 35,0,7,"Jason Myers kicks off 57 yards, returned by Pharoh Cooper for 22 yards (tackle by Ugochukwu Amadi). Penalty on Zeke Turner: Offensive Holding, 10 yards",0.000,0.280
1,8:45,1,10,ARI 20,6,7,"Kenyan Drake right tackle for 80 yards, touchdown",0.280,7.000
1,8:33,,,SEA 15,7,7,Zane Gonzalez kicks extra point good,0.000,0.000
1,8:33,,,ARI 35,7,7,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
1,8:33,1,10,SEA 25,7,7,Chris Carson right guard for 2 yards (tackle by Zach Kerr and Corey Peters),0.610,0.330
1,7:45,2,8,SEA 27,7,7,Russell Wilson pass complete short left to Jacob Hollister for 11 yards (tackle by Patrick Peterson),0.330,1.470
1,7:21,1,10,SEA 38,7,7,"Chris Carson right tackle for 7 yards (tackle by Budda Baker and Chandler Jones). Penalty on Luke Willson: Offensive Holding, 10 yards (no play)",1.470,0.810
1,6:51,1,20,SEA 28,7,7,"Penalty on Caraun Reid: Neutral Zone Infraction, 5 yards (no play)",0.810,1.140
1,6:25,1,15,SEA 33,7,7,Chris Carson up the middle for 5 yards (tackle by Haason Reddick and Michael Dogbe),1.140,0.920
1,5:52,2,10,SEA 38,7,7,Russell Wilson pass complete short right to Chris Carson for 20 yards (tackle by Jordan Hicks),0.920,2.790
1,5:23,1,10,ARI 42,7,7,Chris Carson left tackle for no gain (tackle by Chandler Jones and Zach Kerr),2.790,2.240
1,4:39,2,10,ARI 42,7,7,C.J. Prosise right tackle for 9 yards (tackle by Haason Reddick and Budda Baker),2.240,2.740
1,3:56,3,1,ARI 33,7,7,Russell Wilson pass incomplete short right intended for Jacob Hollister,2.740,1.210
1,3:51,4,1,ARI 33,7,7,"Penalty on SEA: Delay of Game, 6 yards (no play)",1.210,0.660
1,3:51,4,7,ARI 39,7,7,Michael Dickson punts 38 yards downed by Marquise Blair,0.660,0.380
1,3:44,1,10,ARI 1,7,7,Kyler Murray right end for 4 yards (tackle by K.J. Wright),-0.380,-0.490
1,3:03,2,6,ARI 5,7,7,"Penalty on Justin Murray: False Start, 2 yards (no play)",-0.490,-0.630
1,2:44,2,8,ARI 3,7,7,Kenyan Drake left guard for 6 yards (tackle by Bryan Mone and Cody Barton),-0.630,-0.480
1,1:58,3,2,ARI 9,7,7,Kyler Murray pass complete deep left to Charles Clay for 16 yards (tackle by Akeem King),-0.480,0.610
1,1:23,,,,,,Timeout #1 by Arizona Cardinals,,
1,1:23,1,10,ARI 25,7,7,Kyler Murray pass incomplete deep left intended for Larry Fitzgerald,0.610,0.060
1,1:15,2,10,ARI 25,7,7,Christian Kirk left end for 1 yard (tackle by Bobby Wagner),0.060,-0.490
1,0:36,3,9,ARI 26,7,7,Kyler Murray pass incomplete short right intended for Christian Kirk,-0.490,-1.630
1,0:26,4,9,ARI 26,7,7,Andy Lee punts 34 yards out of bounds,-1.630,-1.600
1,0:19,1,10,SEA 40,7,7,C.J. Prosise up the middle for -1 yards (tackle by Budda Baker and Corey Peters),1.600,0.920
Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,SEA 39,7,7,Russell Wilson pass incomplete short right intended for Tyler Lockett (defended by Jalen Thompson),0.920,0.230
2,14:57,3,11,SEA 39,7,7,Russell Wilson sacked by Chandler Jones for -10 yards,0.230,-1.440
2,14:19,4,21,SEA 29,7,7,"Michael Dickson punts 51 yards, returned by Pharoh Cooper for 9 yards (tackle by Nick Bellore)",-1.440,-0.870
2,14:08,1,10,ARI 29,7,7,Kenyan Drake up the middle for 10 yards (tackle by Mychal Kendricks),0.870,1.530
2,13:30,1,10,ARI 39,7,7,Kyler Murray pass incomplete deep right intended for Christian Kirk,1.530,0.990
