Quarter,Time,Tm,Detail,ARI,SEA
1.0,8:50,Seahawks,Nick Bellore 3 yard pass from Russell Wilson (Jason Myers kick),0,7
,8:33,Cardinals,Kenyan Drake 80 yard rush (Zane Gonzalez kick),7,7
2.0,4:16,Cardinals,Larry Fitzgerald 21 yard pass from Kyler Murray (Zane Gonzalez kick),14,7
,0:22,Cardinals,Zane Gonzalez 22 yard field goal,17,7
3.0,11:36,Cardinals,Zane Gonzalez 46 yard field goal,20,7
4.0,14:56,Seahawks,Jason Myers 30 yard field goal,20,10
,10:02,Seahawks,Jason Myers 51 yard field goal,20,13
,4:18,Cardinals,Kenyan Drake 3 yard rush (Zane Gonzalez kick),27,13
