Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kenyan Drake,ARI,24,166,2,6,105,4.4,61,2.5,3,8.0
Brett Hundley,ARI,6,35,0,3,9,1.5,26,4.3,0,
Kyler Murray,ARI,6,40,0,2,36,6.0,4,0.7,0,
David Johnson,ARI,2,3,0,,0,0.0,3,1.5,0,
Christian Kirk,ARI,2,9,0,1,0,0.0,9,4.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Chris Carson,SEA,8,40,0,2,18,2.3,22,2.8,1,8.0
Travis Homer,SEA,5,16,0,1,7,1.4,9,1.8,0,
C.J. Prosise,SEA,4,14,0,,10,2.5,4,1.0,0,
Russell Wilson,SEA,2,2,0,0,2,1.0,0,0.0,0,
David Moore,SEA,1,19,0,1,8,8.0,11,11.0,0,
