Quarter,Time,Tm,Detail,ATL,MIN
1.0,9:27,Vikings,Matt Asiata 3 yard rush (Blair Walsh kick),0,7
,3:56,Falcons,Roddy White 24 yard pass from Matt Ryan (Matt Bryant kick),7,7
,1:31,Vikings,Matt Asiata 6 yard rush (Blair Walsh kick),7,14
2.0,5:56,Falcons,Patrick DiMarco 1 yard pass from Matt Ryan (Matt Bryant kick),14,14
,1:59,Vikings,Teddy Bridgewater 13 yard rush (Blair Walsh kick),14,21
,0:02,Vikings,Blair Walsh 18 yard field goal,14,24
3.0,10:40,Vikings,Blair Walsh 41 yard field goal,14,27
,7:19,Falcons,Devin Hester 36 yard pass from Matt Ryan (Matt Bryant kick),21,27
,1:31,Falcons,Antone Smith 48 yard rush (Matt Bryant kick),28,27
4.0,10:50,Vikings,Matt Asiata 1 yard rush (Rhett Ellison pass from Teddy Bridgewater),28,35
,3:38,Vikings,Blair Walsh 55 yard field goal,28,38
,1:14,Vikings,Blair Walsh 33 yard field goal,28,41
