Unnamed: 0,ATL,MIN
First Downs,23,26
Rush-Yds-TDs,22-123-1,44-241-4
Cmp-Att-Yd-TD-INT,25-41-298-3-2,19-30-317-0-0
Sacked-Yards,1-10,0-0
Net Pass Yards,288,317
Total Yards,411,558
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-50,6-40
Third Down Conv.,10-15,6-13
Fourth Down Conv.,0-0,1-1
Time of Possession,27:08,32:52
