Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ATL 20,0,0,Matt Ryan pass incomplete short right intended for Roddy White (defended by Xavier Rhodes),0.280,-0.270
1,14:56,2,10,ATL 20,0,0,Steven Jackson left tackle for 1 yard (tackle by Everson Griffen),-0.270,-0.820
1,14:13,3,9,ATL 21,0,0,Matt Ryan up the middle for 1 yard (tackle by Sharrif Floyd). Penalty on Justin Blalock: Offensive Holding (Declined),-0.820,-1.900
1,14:06,4,8,ATL 22,0,0,"Matthew Bosher punts 51 yards, fair catch by Marcus Sherels",-1.900,-0.740
1,13:58,1,10,MIN 27,0,0,Teddy Bridgewater pass complete short right to Matt Asiata for 2 yards (tackle by Dwight Lowery),0.740,0.470
1,13:26,2,8,MIN 29,0,0,Teddy Bridgewater pass complete short left to Jarius Wright for 1 yard (tackle by Desmond Trufant),0.470,-0.100
1,12:44,3,7,MIN 30,0,0,Teddy Bridgewater pass complete short right to Jarius Wright for 52 yards (tackle by Robert Alford),-0.100,4.370
1,11:59,1,10,ATL 18,0,0,Matt Asiata up the middle for 3 yards (tackle by Jonathan Babineaux and Tyson Jackson),4.370,4.250
1,11:22,2,7,ATL 15,0,0,Teddy Bridgewater left tackle for 3 yards (tackle by Paul Worrilow),4.250,4.030
1,10:49,3,4,ATL 12,0,0,Teddy Bridgewater pass complete short right to Jarius Wright for 6 yards (tackle by Robert McClain),4.030,5.830
1,10:09,1,6,ATL 6,0,0,Matt Asiata up the middle for 3 yards (tackle by Tyson Jackson and Paul Worrilow),5.830,5.530
1,9:31,2,3,ATL 3,0,6,"Matt Asiata up the middle for 3 yards, touchdown",5.530,7.000
1,9:31,,,ATL 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,9:31,,,MIN 35,0,7,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,9:27,1,10,ATL 20,0,7,Steven Jackson left guard for 9 yards (tackle by Jasper Brinkley),0.280,0.950
1,8:56,2,1,ATL 29,0,7,Steven Jackson left tackle for 7 yards (tackle by Gerald Hodges),0.950,1.330
1,8:19,1,10,ATL 36,0,7,Steven Jackson right tackle for no gain (tackle by Brian Robison and Jasper Brinkley),1.330,0.790
1,7:43,2,10,ATL 36,0,7,Matt Ryan pass complete short right to Julio Jones for 7 yards (tackle by Captain Munnerlyn),0.790,1.030
1,7:15,3,3,ATL 43,0,7,Matt Ryan pass complete short middle to Roddy White for 20 yards (tackle by Captain Munnerlyn),1.030,3.120
1,6:39,1,10,MIN 37,0,7,Jacquizz Rodgers left end for 2 yards (tackle by Robert Blanton and Everson Griffen),3.120,2.840
1,5:57,2,8,MIN 35,0,7,Matt Ryan pass complete short left to Devonta Freeman for 6 yards (tackle by Harrison Smith),2.840,2.940
1,5:24,3,2,MIN 29,0,7,Antone Smith right guard for 2 yards (tackle by Robert Blanton and Sharrif Floyd),2.940,3.780
1,4:48,1,10,MIN 27,0,7,Antone Smith left end for 3 yards (tackle by Harrison Smith),3.780,3.640
1,4:08,2,7,MIN 24,0,7,Matt Ryan pass incomplete deep left intended for Devin Hester (defended by Xavier Rhodes),3.640,2.940
1,4:02,3,7,MIN 24,6,7,"Matt Ryan pass complete short right to Roddy White for 24 yards, touchdown",2.940,7.000
1,4:02,,,MIN 2,7,7,Matt Bryant kicks extra point good,0.000,0.000
1,4:02,,,ATL 35,7,7,"Matthew Bosher kicks off 67 yards, returned by Cordarrelle Patterson for 49 yards (tackle by Robert Alford)",0.000,-2.060
1,3:48,1,10,MIN 47,7,7,Matt Asiata left guard for 5 yards (tackle by Paul Soliai),2.060,2.190
1,3:23,2,5,ATL 48,7,7,Matt Asiata up the middle for 5 yards (tackle by Paul Worrilow),2.190,2.720
1,2:45,1,10,ATL 43,7,7,Teddy Bridgewater pass complete short middle to Greg Jennings for 29 yards (tackle by Dwight Lowery),2.720,4.650
1,2:14,1,10,ATL 14,7,7,Teddy Bridgewater pass complete short middle to Matt Asiata for 8 yards (tackle by Kroy Biermann),4.650,5.470
1,1:35,2,2,ATL 6,7,13,"Matt Asiata up the middle for 6 yards, touchdown",5.470,7.000
1,1:35,,,ATL 2,7,14,Blair Walsh kicks extra point good,0.000,0.000
1,1:35,,,MIN 35,7,14,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,1:31,1,10,ATL 20,7,14,Steven Jackson up the middle for 6 yards (tackle by Linval Joseph and Sharrif Floyd),0.280,0.540
1,0:53,2,4,ATL 26,7,14,Steven Jackson left guard for 3 yards (tackle by Linval Joseph),0.540,0.230
1,0:19,3,1,ATL 29,7,14,Steven Jackson right end for 2 yards (tackle by Linval Joseph and Xavier Rhodes),0.230,1.000
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 31,7,14,Matt Ryan pass incomplete short left intended for Roddy White (defended by Xavier Rhodes),1.000,0.460
2,14:56,2,10,ATL 31,7,14,Antone Smith left guard for 9 yards (tackle by Captain Munnerlyn),0.460,0.960
2,14:15,3,1,ATL 40,7,14,"Matt Ryan left guard for 1 yard (tackle by Linval Joseph). Penalty on Xavier Rhodes: Illegal Contact, 5 yards",0.960,1.990
2,13:55,1,10,ATL 46,7,14,Devonta Freeman right end for 3 yards (tackle by Xavier Rhodes),1.990,1.860
2,13:24,2,7,ATL 49,7,14,Matt Ryan pass incomplete short right intended for Levine Toilolo,1.860,1.160
2,13:21,3,7,ATL 49,7,14,Matt Ryan pass incomplete deep left intended for Roddy White,1.160,-0.130
2,13:16,4,7,ATL 49,7,14,Matthew Bosher punts 43 yards,-0.130,0.380
2,13:07,1,10,MIN 8,7,14,Jerick McKinnon up the middle for 55 yards (tackle by Desmond Trufant),-0.380,3.120
2,12:17,1,10,ATL 37,7,14,Teddy Bridgewater pass incomplete short middle intended for Jerick McKinnon,3.120,2.570
2,12:12,2,10,ATL 37,7,14,Jerick McKinnon left guard for 6 yards (tackle by Kroy Biermann),2.570,2.680
