Quarter,Time,Down,ToGo,Location,KAN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,HOU 35,6,0,"Nick Novak kicks off 71 yards, returned by Knile Davis for 106 yards, touchdown",0.000,-7.000
1,15:00,,,HOU 15,7,0,Cairo Santos kicks extra point good,0.000,0.000
1,15:00,,,KAN 35,7,0,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.280
1,14:49,1,10,HOU 20,7,0,Alfred Blue middle for 4 yards (tackle by Derrick Johnson and Allen Bailey),0.280,0.270
1,14:15,2,6,HOU 24,7,0,Brian Hoyer pass incomplete short right intended for Nate Washington,0.270,-0.430
1,14:12,3,6,HOU 24,7,0,Brian Hoyer pass incomplete short middle intended for Cecil Shorts,-0.430,-1.770
1,14:08,4,6,HOU 24,7,0,"Shane Lechler punts 53 yards, returned by Frankie Hammond for 31 yards (tackle by Darryl Morris). Penalty on Jamell Fleming: Offensive Holding, 10 yards",-1.770,0.320
1,13:55,1,10,KAN 13,7,0,Alex Smith pass complete short left to Travis Kelce for 8 yards (tackle by Brian Cushing),-0.320,0.350
1,13:26,2,2,KAN 21,7,0,Alex Smith pass complete short left to Albert Wilson for 3 yards (tackle by Kareem Jackson),0.350,0.540
1,12:51,1,10,KAN 24,7,0,Alex Smith pass complete short right to Travis Kelce for 4 yards (tackle by Johnathan Joseph),0.540,0.540
1,12:15,2,6,KAN 28,7,0,Alex Smith middle for 5 yards (tackle by Brian Cushing),0.540,0.500
1,11:36,3,1,KAN 33,7,0,Spencer Ware middle for 2 yards (tackle by Whitney Mercilus),0.500,1.270
1,10:59,1,10,KAN 35,7,0,Albert Wilson right end for 9 yards (tackle by Andre Hal and Kareem Jackson),1.270,1.940
1,10:20,2,1,KAN 44,7,0,Charcandrick West middle for 1 yard (tackle by Vince Wilfork and J.J. Watt),1.940,1.930
1,9:35,1,10,KAN 45,7,0,Alex Smith sacked by Whitney Mercilus for -3 yards,1.930,0.980
1,8:54,2,13,KAN 42,7,0,Alex Smith pass incomplete short right intended for Travis Kelce,0.980,0.300
1,8:51,3,13,KAN 42,7,0,Alex Smith pass incomplete deep left intended for Albert Wilson,0.300,-0.590
1,8:45,4,13,KAN 42,7,0,"Dustin Colquitt punts 41 yards, fair catch by Keith Mumphery",-0.590,0.060
1,8:38,1,10,HOU 17,7,0,Alfred Blue left guard for no gain (tackle by Josh Mauga),-0.060,-0.580
1,8:06,2,10,HOU 17,7,0,Alfred Blue right guard for 2 yards (tackle by Dontari Poe and Eric Berry),-0.580,-1.000
1,7:24,3,8,HOU 19,7,0,Brian Hoyer pass incomplete short middle intended for Nate Washington is intercepted by Eric Berry at HOU-33,-1.000,-3.380
1,7:18,1,10,HOU 33,7,0,Spencer Ware right guard for 5 yards (tackle by Vince Wilfork and Andre Hal),3.380,3.510
1,6:42,2,5,HOU 28,7,0,Alex Smith pass incomplete short middle intended for Jeremy Maclin is intercepted by Brian Cushing at HOU-17,3.510,0.060
1,6:34,1,10,HOU 17,7,0,Brian Hoyer pass complete short right to C.J. Fiedorowicz for 1 yard (tackle by Josh Mauga),-0.060,-0.420
1,6:11,2,9,HOU 18,7,0,Alfred Blue middle for 2 yards (tackle by Dee Ford),-0.420,-0.870
1,5:35,3,7,HOU 20,7,0,Brian Hoyer pass complete short right to DeAndre Hopkins for 8 yards (tackle by Marcus Peters and Derrick Johnson),-0.870,0.810
1,5:00,1,10,HOU 28,7,0,Alfred Blue right tackle for 4 yards (tackle by Ron Parker and Tamba Hali),0.810,0.800
1,4:24,2,6,HOU 32,7,0,"Brian Hoyer pass incomplete short right intended for DeAndre Hopkins. Penalty on Marcus Peters: Defensive Pass Interference, 12 yards (no play)",0.800,1.860
1,4:18,1,10,HOU 44,7,0,Brian Hoyer pass complete short left to DeAndre Hopkins for 11 yards,1.860,2.590
1,3:49,1,10,KAN 45,7,0,Alfred Blue left guard for 2 yards (tackle by Dee Ford and Dontari Poe),2.590,2.310
1,3:09,2,8,KAN 43,7,0,Alfred Blue left guard for 3 yards (tackle by Sean Smith and Tyvon Branch),2.310,2.010
1,2:31,3,5,KAN 40,7,0,Brian Hoyer pass complete short right to Ryan Griffin for 7 yards (tackle by Tyvon Branch),2.010,3.380
1,1:50,1,10,KAN 33,7,0,Alfred Blue left end for no gain (tackle by Allen Bailey and Tamba Hali),3.380,2.840
1,1:12,2,10,KAN 33,7,0,Alfred Blue middle for 3 yards (tackle by Husain Abdullah),2.840,2.540
1,0:33,3,7,KAN 30,7,0,"Brian Hoyer sacked by Allen Bailey for -7 yards. Brian Hoyer fumbles (forced by Allen Bailey), recovered by Dontari Poe at KAN-42 (tackle by Ben Jones)",2.540,-1.730
