Quarter,Time,Tm,Detail,KAN,HOU
1.0,14:49,Chiefs,Knile Davis 106 yard kickoff return (Cairo Santos kick),7,0
2.0,12:50,Chiefs,Cairo Santos 49 yard field goal,10,0
,7:06,Chiefs,Cairo Santos 49 yard field goal,13,0
3.0,4:35,Chiefs,Chris Conley 9 yard pass from Alex Smith (Cairo Santos kick),20,0
4.0,14:56,Chiefs,Spencer Ware 5 yard rush (Cairo Santos kick),27,0
,3:59,Chiefs,Cairo Santos 33 yard field goal,30,0
