Quarter,Time,Tm,Detail,JAX,CLE
1.0,11:39,Browns,David Njoku 34 yard pass from Joe Flacco (Dustin Hopkins kick),0,7
2.0,13:40,Browns,David Njoku 30 yard pass from Joe Flacco (Dustin Hopkins kick),0,14
,6:14,Jaguars,Evan Engram 10 yard pass from Trevor Lawrence (Brandon McManus kick),7,14
3.0,9:39,Browns,Kareem Hunt 4 yard rush (Dustin Hopkins kick),7,21
,4:59,Jaguars,Travis Etienne 1 yard rush (Brandon McManus kick),14,21
4.0,12:34,Browns,David Bell 41 yard pass from Joe Flacco (Dustin Hopkins kick),14,28
,8:52,Jaguars,Parker Washington 19 yard pass from Trevor Lawrence (Brandon McManus kick),21,28
,3:10,Browns,Dustin Hopkins 55 yard field goal,21,31
,1:33,Jaguars,Evan Engram 2 yard pass from Trevor Lawrence (pass failed),27,31
