Unnamed: 0,JAX,CLE
First Downs,20,16
Rush-Yds-TDs,20-58-1,28-82-1
Cmp-Att-Yd-TD-INT,28-50-257-3-3,26-45-311-3-1
Sacked-Yards,4-22,1-4
Net Pass Yards,235,307
Total Yards,293,389
Fumbles-Lost,1-1,2-2
Turnovers,4,3
Penalties-Yards,7-40,8-75
Third Down Conv.,7-17,4-18
Fourth Down Conv.,0-1,3-3
Time of Possession,28:11,31:49
