Unnamed: 0,DET,CHI
First Downs,13,20
Rush-Yds-TDs,24-140-1,30-142-2
Cmp-Att-Yd-TD-INT,20-35-161-1-2,19-33-223-1-0
Sacked-Yards,4-34,3-29
Net Pass Yards,127,194
Total Yards,267,336
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,8-59,4-35
Third Down Conv.,6-15,6-14
Fourth Down Conv.,1-5,1-2
Time of Possession,26:41,33:19
