Quarter,Time,Tm,Detail,DET,CHI
1.0,10:17,Bears,D.J. Moore 16 yard rush (Cairo Santos kick),0,7
,1:22,Bears,Cairo Santos 46 yard field goal,0,10
2.0,6:59,Lions,Jahmyr Gibbs 12 yard rush (Riley Patterson kick failed),6,10
,0:26,Lions,Josh Reynolds 8 yard pass from Jared Goff (Riley Patterson kick),13,10
3.0,8:38,Bears,Cairo Santos 25 yard field goal,13,13
,1:36,Bears,D.J. Moore 38 yard pass from Justin Fields (Cairo Santos kick failed),13,19
4.0,14:12,Bears,Justin Fields 11 yard rush (pass failed),13,25
,9:20,Bears,Cairo Santos 28 yard field goal,13,28
