Quarter,Time,Tm,Detail,TAM,TEN
1.0,11:28,Buccaneers,Matt Gay 22 yard field goal,3,0
,8:55,Titans,Jonnu Smith 5 yard pass from Ryan Tannehill (Cody Parkey kick),3,7
,0:24,Titans,Tajae Sharpe 6 yard pass from Ryan Tannehill (Cody Parkey kick),3,14
2.0,7:51,Buccaneers,Matt Gay 48 yard field goal,6,14
,3:47,Buccaneers,Matt Gay 24 yard field goal,9,14
,1:09,Titans,Cody Parkey 51 yard field goal,9,17
,0:15,Buccaneers,Mike Evans 9 yard pass from Jameis Winston (pass failed),15,17
3.0,11:11,Buccaneers,Mike Evans 2 yard pass from Jameis Winston (Chris Godwin pass from Jameis Winston),23,17
,0:37,Titans,Cody Parkey 42 yard field goal,23,20
4.0,6:55,Titans,A.J. Brown 8 yard pass from Ryan Tannehill (Cody Parkey kick),23,27
