Unnamed: 0,TAM,TEN
First Downs,23,16
Rush-Yds-TDs,30-106-0,21-72-0
Cmp-Att-Yd-TD-INT,21-43-301-2-2,21-33-193-3-0
Sacked-Yards,3-18,3-19
Net Pass Yards,283,174
Total Yards,389,246
Fumbles-Lost,3-2,2-1
Turnovers,4,1
Penalties-Yards,9-87,6-77
Third Down Conv.,7-15,5-13
Fourth Down Conv.,1-2,0-1
Time of Possession,31:34,28:26
