Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry,TEN,10,38,0,2,30,3.0,8,0.8,0,
Will Levis,TEN,4,2,0,1,2,0.5,0,0.0,0,
Tyjae Spears,TEN,4,14,0,,11,2.8,3,0.8,1,4.0
Chris Moore,TEN,1,38,0,1,35,35.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Travis Etienne,JAX,14,52,0,3,29,2.1,23,1.6,2,7.0
Tank Bigsby,JAX,9,21,0,2,8,0.9,13,1.4,2,4.5
D'Ernest Johnson,JAX,7,20,0,0,14,2.0,6,0.9,0,
Trevor Lawrence,JAX,5,17,2,2,14,2.8,3,0.6,1,5.0
Calvin Ridley,JAX,1,18,0,1,18,18.0,0,0.0,0,
