Unnamed: 0,TEN,JAX
First Downs,12,24
Rush-Yds-TDs,19-92-0,36-128-2
Cmp-Att-Yd-TD-INT,13-17-158-2-0,24-32-262-2-0
Sacked-Yards,2-15,1-1
Net Pass Yards,143,261
Total Yards,235,389
Fumbles-Lost,2-2,0-0
Turnovers,2,0
Penalties-Yards,7-66,4-29
Third Down Conv.,2-7,4-12
Fourth Down Conv.,1-1,3-4
Time of Possession,23:34,36:26
