Unnamed: 0,LAR,MIA
First Downs,31,8
Rush-Yds-TDs,29-131-1,25-55-1
Cmp-Att-Yd-TD-INT,35-61-355-1-2,12-22-93-1-0
Sacked-Yards,2-15,1-3
Net Pass Yards,340,90
Total Yards,471,145
Fumbles-Lost,3-2,2-2
Turnovers,4,2
Penalties-Yards,5-45,3-30
Third Down Conv.,7-17,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,36:30,23:30
