Quarter,Time,Tm,Detail,LAR,MIA
1.0,11:13,Rams,Robert Woods 4 yard rush (Kai Forbath kick),7,0
,0:00,Dolphins,DeVante Parker 3 yard pass from Tua Tagovailoa (Jason Sanders kick),7,7
2.0,10:01,Dolphins,Andrew Van Ginkel 78 yard fumble return (Jason Sanders kick),7,14
,8:44,Dolphins,Jakeem Grant 88 yard punt return (Jason Sanders kick),7,21
,2:47,Dolphins,Myles Gaskin 1 yard rush (Jason Sanders kick),7,28
,0:11,Rams,Kai Forbath 23 yard field goal,10,28
4.0,9:58,Rams,Robert Woods 11 yard pass from Jared Goff (Kai Forbath kick),17,28
