Unnamed: 0,BAL,PIT
First Downs,18,23
Rush-Yds-TDs,42-215-1,20-65-1
Cmp-Att-Yd-TD-INT,11-17-104-0-0,22-31-276-1-3
Sacked-Yards,2-10,2-12
Net Pass Yards,94,264
Total Yards,309,329
Fumbles-Lost,2-0,0-0
Turnovers,0,3
Penalties-Yards,5-46,2-15
Third Down Conv.,4-13,4-8
Fourth Down Conv.,1-2,0-0
Time of Possession,32:59,27:01
