Quarter,Time,Tm,Detail,NYJ,NWE
1.0,9:33,Patriots,Eugene Wilson 5 yard interception return (Stephen Gostkowski kick),0,7
2.0,12:45,Patriots,Stephen Gostkowski 26 yard field goal,0,10
,7:15,Jets,David Bowens 26 yard blocked punt return (Mike Nugent kick),7,10
,1:05,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),7,17
4.0,6:13,Jets,Mike Nugent 33 yard field goal,10,17
,3:21,Patriots,Stephen Gostkowski 34 yard field goal,10,20
