Quarter,Time,Tm,Detail,IND,ATL
1.0,0:02,Falcons,Patrick DiMarco 15 yard pass from Matt Ryan (Matt Bryant kick),0,7
2.0,8:54,Falcons,Patrick DiMarco 1 yard pass from Matt Ryan (Matt Bryant kick),0,14
,1:55,Colts,Ahmad Bradshaw 7 yard pass from Matt Hasselbeck (Adam Vinatieri kick),7,14
3.0,9:38,Falcons,Leonard Hankerson 3 yard pass from Matt Ryan (Matt Bryant kick),7,21
,0:10,Colts,Ahmad Bradshaw 2 yard pass from Matt Hasselbeck (Adam Vinatieri kick),14,21
4.0,10:07,Colts,D'Qwell Jackson 6 yard interception return (Adam Vinatieri kick),21,21
,0:52,Colts,Adam Vinatieri 43 yard field goal,24,21
