Unnamed: 0,HOU,DAL
First Downs,16,21
Rush-Yds-TDs,37-114-1,31-127-2
Cmp-Att-Yd-TD-INT,20-27-213-1-1,24-39-284-1-2
Sacked-Yards,0-0,1-7
Net Pass Yards,213,277
Total Yards,327,404
Fumbles-Lost,1-1,2-1
Turnovers,2,3
Penalties-Yards,4-25,3-10
Third Down Conv.,7-15,8-15
Fourth Down Conv.,0-2,1-2
Time of Possession,33:14,26:46
