Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 68 yards, returned by KaVontae Turpin for 27 yards (tackle by Neville Hewitt)",0.000,0.540
1,14:55,1,10,DAL 24,0,0,Dak Prescott pass complete short right to Ezekiel Elliott for 8 yards (tackle by Jake Hansen),0.540,1.080
1,14:22,2,2,DAL 32,0,0,Dak Prescott pass incomplete short middle intended for Michael Gallup,1.080,0.370
1,14:16,3,2,DAL 32,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 13 yards (tackle by Christian Kirksey),0.370,1.930
1,13:46,1,10,DAL 45,0,0,Tony Pollard right end for 11 yards (tackle by Roy Lopez and Jalen Pitre),1.930,2.650
1,13:24,1,10,HOU 44,0,0,Dak Prescott pass incomplete deep right intended for Dalton Schultz,2.650,2.110
1,13:18,2,10,HOU 44,0,0,Ezekiel Elliott up the middle for 7 yards (tackle by Tavierre Thomas and Mario Addison),2.110,2.350
1,12:45,3,3,HOU 37,0,0,Ezekiel Elliott up the middle for 25 yards (tackle by Desmond King and Tavierre Thomas),2.350,4.780
1,12:05,1,10,HOU 12,0,0,Ezekiel Elliott left tackle for 1 yard (tackle by Maliek Collins),4.780,4.270
1,11:25,2,9,HOU 11,0,6,"Tony Pollard right end for 11 yards, touchdown",4.270,7.000
1,11:20,,,HOU 15,0,7,Brett Maher kicks extra point good,0.000,0.000
1,11:20,,,DAL 35,0,7,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,11:20,1,10,HOU 25,0,7,Dameon Pierce right tackle for no gain (tackle by Donovan Wilson),0.610,0.060
1,10:39,2,10,HOU 25,0,7,Dameon Pierce up the middle for 2 yards (tackle by Osa Odighizuwa),0.060,-0.360
1,9:57,3,8,HOU 27,0,7,Davis Mills pass complete short left to Chris Moore for 1 yard (tackle by DeMarcus Lawrence),-0.360,-1.500
1,9:11,4,7,HOU 28,0,7,"Cameron Johnston punts 48 yards, recovered by Blake Cashman at DAL-24",-1.500,3.970
1,9:01,1,10,DAL 24,0,7,Jeff Driskel right end for 3 yards (tackle by Leighton Vander Esch),3.970,3.840
1,8:23,2,7,DAL 21,0,7,Jeff Driskel pass complete short right to Chris Moore for 5 yards (tackle by Donovan Wilson),3.840,3.950
1,7:36,3,2,DAL 16,0,7,Dameon Pierce left tackle for 8 yards (tackle by Micah Parsons),3.950,5.370
1,6:49,1,8,DAL 8,0,7,Dameon Pierce left tackle for 3 yards (tackle by Micah Parsons and Leighton Vander Esch),5.370,5.150
1,6:07,2,5,DAL 5,0,7,Dameon Pierce right guard for 4 yards (tackle by Leighton Vander Esch and DaRon Bland),5.150,5.170
1,5:47,3,1,DAL 1,0,7,Jeff Driskel up the middle for no gain (tackle by Anthony Barr). Penalty on Micah Parsons: Defensive Offside (accepted) (no play),5.170,5.170
1,5:36,3,1,DAL 1,6,7,"Dameon Pierce right tackle for 1 yard, touchdown",5.170,7.000
1,5:33,,,DAL 15,7,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,5:33,,,HOU 35,7,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,5:33,1,10,DAL 25,7,7,Tony Pollard right tackle for no gain (tackle by Maliek Collins),0.610,0.060
1,4:53,2,10,DAL 25,7,7,Tony Pollard left end for -3 yards (tackle by Maliek Collins),0.060,-1.020
1,4:20,3,13,DAL 22,7,7,Dak Prescott pass complete short left to Noah Brown for 9 yards (tackle by Desmond King and Jonathan Owens),-1.020,-1.310
1,3:39,4,4,DAL 31,7,7,"Bryan Anger punts 53 yards, returned by Desmond King for 12 yards (tackle by Damone Clark)",-1.310,-0.810
1,3:27,1,10,HOU 28,7,7,Davis Mills pass complete short left to Phillip Dorsett for 9 yards (tackle by Dante Fowler),0.810,1.480
1,2:49,2,1,HOU 37,7,7,"Davis Mills pass complete deep right to Chris Moore for 36 yards DAL challenged the pass completion ruling, and the play was upheld.",1.480,3.780
1,2:16,1,10,DAL 27,7,7,Dameon Pierce up the middle for 2 yards (tackle by Dorance Armstrong and Micah Parsons),3.780,3.500
1,1:38,2,8,DAL 25,7,7,Dameon Pierce right guard for 3 yards (tackle by Leighton Vander Esch and Neville Gallimore),3.500,3.200
1,1:06,3,5,DAL 22,7,7,Dare Ogunbowale left end for -3 yards (tackle by Osa Odighizuwa),3.200,1.800
1,0:22,4,8,DAL 25,10,7,Ka'imi Fairbairn 43 yard field goal good,1.800,3.000
1,0:18,,,HOU 35,10,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,0:18,1,10,DAL 25,10,7,Dak Prescott pass complete short left to Tony Pollard for -2 yards (tackle by Desmond King),0.610,-0.210
Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,DAL 23,10,7,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Thomas Booker),-0.210,-0.890
2,14:56,3,12,DAL 23,10,7,"Dak Prescott pass complete deep right to Noah Brown for 51 yards (tackle by Jalen Pitre). Penalty on Tavierre Thomas: Defensive Holding, 5 yards (declined)",-0.890,3.840
2,14:37,1,10,HOU 26,10,7,Dak Prescott pass complete short left to CeeDee Lamb for 3 yards (tackle by Christian Kirksey and Tavierre Thomas),3.840,3.700
2,14:00,2,7,HOU 23,10,7,Tony Pollard right end for 18 yards (tackle by Jonathan Owens),3.700,6.060
2,13:27,1,5,HOU 5,10,7,"Penalty on Terence Steele: False Start, 5 yards (accepted) (no play)",6.060,4.910
2,13:09,1,10,HOU 10,10,7,Tony Pollard right tackle for no gain (tackle by Maliek Collins),4.910,4.190
2,12:34,2,10,HOU 10,10,13,"Dak Prescott pass complete short left to Tony Pollard for 10 yards, touchdown",4.190,7.000
2,12:28,,,HOU 15,10,14,Brett Maher kicks extra point good,0.000,0.000
2,12:28,,,DAL 35,10,14,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,12:28,1,10,HOU 25,10,14,Dameon Pierce left end for 2 yards (tackle by DeMarcus Lawrence and Leighton Vander Esch),0.610,0.330
2,11:49,2,8,HOU 27,10,14,Davis Mills pass complete short left to Jordan Akins for 5 yards (tackle by Trevon Diggs),0.330,0.300
2,11:07,3,3,HOU 32,10,14,Davis Mills pass complete short left to Chris Moore for 4 yards (tackle by Trevon Diggs),0.300,1.330
2,10:28,1,10,HOU 36,10,14,Amari Rodgers right end for 3 yards (tackle by Leighton Vander Esch and Damone Clark),1.330,1.200
2,9:50,2,7,HOU 39,10,14,Jeff Driskel left end for 5 yards (tackle by Trevon Diggs),1.200,1.160
2,9:09,3,2,HOU 44,10,14,Jeff Driskel right end for 7 yards (tackle by Malik Hooker),1.160,2.320
2,8:32,1,10,DAL 49,10,14,Dameon Pierce left guard for 7 yards (tackle by Leighton Vander Esch),2.320,2.730
2,7:52,2,3,DAL 42,10,14,Dameon Pierce right end for no gain (tackle by Damone Clark),2.730,2.020
2,7:07,3,3,DAL 42,10,14,Dameon Pierce up the middle for no gain (tackle by Leighton Vander Esch),2.020,0.460
2,6:22,4,3,DAL 42,10,14,Dameon Pierce up the middle for 2 yards (tackle by Johnathan Hankins),0.460,-1.600
2,6:13,1,10,DAL 40,10,14,Ezekiel Elliott left end for no gain (tackle by Taylor Stallworth and Jake Hansen),1.600,1.050
2,5:36,2,10,DAL 40,10,14,Dak Prescott pass incomplete short right intended for Ezekiel Elliott,1.050,0.370
2,5:28,3,10,DAL 40,10,14,Dak Prescott pass complete short left to Tony Pollard for 6 yards (tackle by Desmond King and Christian Harris),0.370,-0.320
2,4:47,4,4,DAL 46,10,14,"Bryan Anger punts 42 yards, returned by Desmond King for 9 yards (tackle by Matt Overton and Luke Gifford)",-0.320,-0.340
2,4:36,1,10,HOU 21,10,14,Dameon Pierce left tackle for 2 yards (tackle by Leighton Vander Esch),0.340,0.070
2,4:01,2,8,HOU 23,10,14,Davis Mills pass incomplete short left,0.070,-0.630
2,3:57,3,8,HOU 23,10,14,Davis Mills pass incomplete short right intended for Phillip Dorsett,-0.630,-1.830
2,3:52,4,8,HOU 23,10,14,"Cameron Johnston punts 50 yards, returned by KaVontae Turpin for 9 yards (tackle by Chris Moore)",-1.830,-1.330
2,3:42,1,10,DAL 36,10,14,Ezekiel Elliott right guard for 2 yards (tackle by Tremon Smith and Jalen Pitre),1.330,1.060
2,3:21,2,8,DAL 38,10,14,Dak Prescott pass short right (defended by M.J. Stewart) intended for Noah Brown is intercepted by Tremon Smith at HOU-47 and returned for 26 yards (tackle by Ezekiel Elliott),1.060,-3.780
2,3:12,1,10,DAL 27,10,14,"Penalty on Kenyon Green: False Start, 5 yards (accepted) (no play)",3.780,3.450
2,3:12,1,15,DAL 32,10,14,Dameon Pierce right tackle for 4 yards (tackle by Osa Odighizuwa),3.450,3.100
2,2:30,2,11,DAL 28,16,14,"Jeff Driskel pass complete deep right to Amari Rodgers for 28 yards, touchdown",3.100,7.000
2,2:23,,,DAL 15,17,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,2:23,,,HOU 35,17,14,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,2:23,1,10,DAL 25,17,14,Dak Prescott pass complete short middle to CeeDee Lamb for 7 yards (tackle by Christian Kirksey),0.610,1.010
2,2:00,2,3,DAL 32,17,14,Dak Prescott pass complete short left to Dalton Schultz for 8 yards (tackle by Desmond King),1.010,1.600
2,1:56,1,10,DAL 40,17,14,Dak Prescott pass complete short right to Noah Brown for 7 yards (tackle by Christian Harris),1.600,2.000
2,1:36,2,3,DAL 47,17,14,"Dak Prescott pass complete deep right to Michael Gallup for 16 yards (tackle by Jalen Pitre). Penalty on Desmond King: Illegal Contact, 5 yards (declined)",2.000,3.120
2,1:30,1,10,HOU 37,17,14,Dak Prescott pass incomplete short right intended for James Washington (defended by Jalen Pitre),3.120,2.570
2,1:26,2,10,HOU 37,17,14,Dak Prescott pass incomplete short middle intended for Dalton Schultz,2.570,1.880
2,1:21,3,10,HOU 37,17,14,Dak Prescott pass complete short middle to Dalton Schultz for 22 yards (tackle by Christian Harris),1.880,4.580
2,0:57,1,10,HOU 15,17,14,Dak Prescott pass incomplete short middle intended for Dalton Schultz,4.580,3.950
2,0:53,2,10,HOU 15,17,14,Dak Prescott pass incomplete short right intended for Tony Pollard,3.950,3.100
2,0:49,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:49,3,10,HOU 15,17,14,Dak Prescott pass incomplete short left intended for Noah Brown (defended by Jalen Pitre),3.100,2.440
2,0:44,4,10,HOU 15,17,17,Brett Maher 33 yard field goal good,2.440,3.000
2,0:40,,,DAL 35,17,17,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,0:40,1,10,HOU 25,17,17,Davis Mills pass complete deep right to Chris Moore for 18 yards (tackle by Kelvin Joseph),0.610,1.800
