Quarter,Time,Tm,Detail,HOU,DAL
1.0,11:20,Cowboys,Tony Pollard 11 yard rush (Brett Maher kick),0,7
,5:33,Texans,Dameon Pierce 1 yard rush (Ka'imi Fairbairn kick),7,7
,0:18,Texans,Ka'imi Fairbairn 43 yard field goal,10,7
2.0,12:28,Cowboys,Tony Pollard 10 yard pass from Dak Prescott (Brett Maher kick),10,14
,2:23,Texans,Amari Rodgers 28 yard pass from Jeff Driskel (Ka'imi Fairbairn kick),17,14
,0:40,Cowboys,Brett Maher 33 yard field goal,17,17
,0:00,Texans,Ka'imi Fairbairn 50 yard field goal,20,17
3.0,3:03,Texans,Ka'imi Fairbairn 54 yard field goal,23,17
4.0,14:50,Cowboys,Brett Maher 53 yard field goal,23,20
,0:41,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),23,27
