Unnamed: 0,NYG,ARI
First Downs,24,22
Rush-Yds-TDs,24-54-2,32-156-3
Cmp-Att-Yd-TD-INT,27-40-321-2-0,20-34-237-0-1
Sacked-Yards,1-15,4-25
Net Pass Yards,306,212
Total Yards,360,368
Fumbles-Lost,2-2,2-1
Turnovers,2,2
Penalties-Yards,7-55,11-118
Third Down Conv.,6-13,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,28:01,31:59
