Unnamed: 0,SFO,JAX
First Downs,25,20
Rush-Yds-TDs,38-221-4,25-90-0
Cmp-Att-Yd-TD-INT,11-17-177-1-0,29-45-228-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,177,228
Total Yards,398,318
Fumbles-Lost,3-1,1-1
Turnovers,1,1
Penalties-Yards,4-35,6-76
Third Down Conv.,6-9,4-14
Fourth Down Conv.,2-2,3-5
Time of Possession,28:29,31:31
