Quarter,Time,Down,ToGo,Location,SFO,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Scobee kicks off 63 yards, returned by Kyle Williams for 18 yards (tackle by John Lotulelei). Kyle Williams fumbles, recovered by Kyle Williams at SFO-24",0.000,-0.540
1,14:55,1,10,SFO 24,0,0,Frank Gore left tackle for 3 yards (tackle by Roy Miller),0.540,0.400
1,14:24,2,7,SFO 27,0,0,Colin Kaepernick pass complete short right to Bruce Miller for 43 yards (tackle by Josh Evans),0.400,3.580
1,14:00,1,10,JAX 30,0,0,Colin Kaepernick pass incomplete short left intended for Kyle Williams,3.580,3.030
1,13:56,2,10,JAX 30,0,0,Frank Gore right guard for 5 yards (tackle by Geno Hayes),3.030,3.010
1,13:15,3,5,JAX 25,0,0,Colin Kaepernick up the middle for 4 yards (tackle by Sen'Derrick Marks),3.010,2.210
1,12:32,4,1,JAX 21,0,0,Frank Gore right guard for 2 yards (tackle by Geno Hayes),2.210,4.310
1,11:55,1,10,JAX 19,0,0,Colin Kaepernick pass incomplete deep right intended for Kyle Williams,4.310,3.750
1,11:48,2,10,JAX 19,6,0,"Frank Gore right guard for 19 yards, touchdown",3.750,7.000
1,11:48,,,JAX 2,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,11:48,,,SFO 35,7,0,"Phil Dawson kicks off 64 yards, muffed catch by Jordan Todman, recovered by Jordan Todman at JAX-4, and returned for 5 yards",0.000,0.380
1,11:37,1,10,JAX 9,7,0,Maurice Jones-Drew left end for 11 yards (tackle by Eric Reid),-0.380,0.280
1,11:02,1,10,JAX 20,7,0,Chad Henne pass incomplete short left intended for Justin Blackmon (defended by Eric Reid),0.280,-0.270
1,10:59,2,10,JAX 20,7,0,Maurice Jones-Drew left tackle for 3 yards (tackle by Ahmad Brooks),-0.270,-0.270
1,10:21,2,10,JAX 20,7,0,Timeout #1 by Jacksonville Jaguars,-0.270,-0.560
1,10:21,3,7,JAX 23,7,0,Chad Henne pass complete short right to Cecil Shorts for 14 yards (tackle by Eric Reid),-0.560,1.400
1,9:50,1,10,JAX 37,7,0,Maurice Jones-Drew left end for 1 yard (tackle by Patrick Willis),1.400,0.990
1,9:15,2,9,JAX 38,7,0,Maurice Jones-Drew right tackle for 3 yards (tackle by Glenn Dorsey),0.990,0.700
1,8:39,3,6,JAX 41,7,0,"Chad Henne pass incomplete short left intended for Mike Brown. Penalty on Carlos Rogers: Defensive Holding, 5 yards (no play)",0.700,1.990
1,8:35,1,10,JAX 46,7,0,Denard Robinson right guard for 4 yards (tackle by Ray McDonald),1.990,1.990
1,8:06,2,6,,7,0,Denard Robinson right tackle for -2 yards (tackle by Ahmad Brooks),1.990,1.030
1,7:31,3,8,JAX 48,7,0,Chad Henne pass complete short left to Justin Forsett for 3 yards (tackle by NaVorro Bowman),1.030,0.000
1,6:58,4,5,SFO 49,7,0,"Bryan Anger punts 49 yards, touchback",0.000,-0.280
1,6:50,1,10,SFO 20,7,0,"Colin Kaepernick pass incomplete deep left intended for Anquan Boldin. Penalty on Will Blackmon: Defensive Pass Interference, 31 yards (no play)",0.280,2.320
1,6:43,1,10,JAX 49,7,0,Frank Gore left guard for 1 yard (tackle by Andre Branch),2.320,2.320
1,5:57,1,10,JAX 49,7,0,Timeout #1 by San Francisco 49ers,2.320,1.920
1,5:57,2,9,JAX 48,7,0,Colin Kaepernick pass incomplete short middle intended for Bruce Miller,1.920,1.220
1,5:52,3,9,JAX 48,7,0,Colin Kaepernick for 9 yards (tackle by Mike Harris),1.220,2.980
1,5:23,1,10,JAX 39,7,0,Frank Gore right guard for 1 yard (tackle by Paul Posluszny),2.980,2.980
1,4:39,1,10,JAX 39,7,0,Timeout #2 by San Francisco 49ers,2.980,2.580
1,4:39,2,9,JAX 38,7,0,Colin Kaepernick right end for 4 yards (tackle by Dwayne Gratz),2.580,2.410
1,3:53,3,5,JAX 34,7,0,Colin Kaepernick pass complete short right to Anquan Boldin for 21 yards (tackle by Dwayne Gratz),2.410,4.710
1,3:21,1,10,JAX 13,7,0,Frank Gore up the middle for 1 yard (tackle by Russell Allen),4.710,4.220
1,2:44,2,9,JAX 12,13,0,"Colin Kaepernick left end for 12 yards, touchdown",4.220,7.000
1,2:44,,,JAX 2,14,0,Phil Dawson kicks extra point good,0.000,0.000
1,2:44,,,SFO 35,14,0,"Phil Dawson kicks off 67 yards, returned by Jordan Todman for 23 yards (tackle by Craig Dahl)",0.000,-0.340
1,2:31,1,10,JAX 21,14,0,Chad Henne pass incomplete short left intended for Maurice Jones-Drew,0.340,-0.200
1,2:27,2,10,JAX 21,14,0,Maurice Jones-Drew left guard for 4 yards (tackle by Patrick Willis),-0.200,-0.360
1,1:49,3,6,JAX 25,14,0,Chad Henne pass incomplete short right intended for Justin Blackmon (defended by Carlos Rogers),-0.360,-1.700
1,1:43,4,6,JAX 25,14,0,"Bryan Anger punts 51 yards, returned by Kyle Williams for 4 yards (tackle by Demetrius McCray)",-1.700,-0.810
1,1:33,1,10,SFO 28,14,0,Frank Gore left guard for 5 yards (tackle by Paul Posluszny),0.810,0.940
1,0:47,2,5,SFO 33,14,0,Frank Gore left guard for 4 yards (tackle by Dwayne Gratz),0.940,0.760
1,0:12,3,1,SFO 37,14,0,Colin Kaepernick pass complete short right to Anquan Boldin for 4 yards (tackle by Dwayne Gratz),0.760,1.660
Quarter,Time,Down,ToGo,Location,SFO,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
