Unnamed: 0,PIT,ATL
First Downs,22,20
Rush-Yds-TDs,22-45-2,20-97-0
Cmp-Att-Yd-TD-INT,27-35-360-0-0,26-37-310-2-1
Sacked-Yards,1-7,0-0
Net Pass Yards,353,310
Total Yards,398,407
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,3-34,3-25
Third Down Conv.,6-11,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,30:43,29:17
