Quarter,Time,Tm,Detail,SEA,STL
1.0,4:37,Rams,Greg Zuerlein 33 yard field goal,0,3
2.0,5:37,Seahawks,Golden Tate 2 yard pass from Russell Wilson (Stephen Hauschka kick),7,3
3.0,4:01,Rams,Greg Zuerlein 28 yard field goal,7,6
,3:45,Seahawks,Golden Tate 80 yard pass from Russell Wilson (Stephen Hauschka kick),14,6
4.0,12:51,Rams,Greg Zuerlein 27 yard field goal,14,9
