Unnamed: 0,SEA,STL
First Downs,7,23
Rush-Yds-TDs,15-44-0,37-200-0
Cmp-Att-Yd-TD-INT,10-18-139-2-0,15-31-158-0-2
Sacked-Yards,7-48,3-19
Net Pass Yards,91,139
Total Yards,135,339
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,10-83,8-53
Third Down Conv.,2-11,5-14
Fourth Down Conv.,0-0,0-1
Time of Possession,21:51,38:09
