Quarter,Time,Down,ToGo,Location,KAN,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,KAN 20,0,0,Jamaal Charles right end for 5 yards (tackle by Sio Moore),0.280,0.410
1,14:27,2,5,KAN 25,0,0,Alex Smith pass incomplete short right intended for Dwayne Bowe (defended by D.J. Hayden),0.410,-0.300
1,14:22,3,5,KAN 25,0,0,Jamaal Charles left end for -9 yards (tackle by Charles Woodson),-0.300,-2.390
1,13:41,4,14,KAN 16,0,0,Dustin Colquitt punts 69 yards,-2.390,0.220
1,13:31,1,10,OAK 15,0,0,Derek Carr pass complete short right to Andre Holmes for 5 yards (tackle by Ron Parker),-0.220,0.080
1,12:58,2,5,OAK 20,0,0,Darren McFadden right guard for 1 yard (tackle by Eric Berry and Josh Mauga),0.080,-0.630
1,12:24,3,4,OAK 21,0,0,Derek Carr pass complete short right to James Jones for 8 yards (tackle by Ron Parker),-0.630,0.870
1,11:57,1,10,OAK 29,0,0,Derek Carr pass incomplete short right intended for Marcel Reece,0.870,0.330
1,11:51,2,10,OAK 29,0,0,Darren McFadden left tackle for 3 yards (tackle by Tamba Hali),0.330,0.040
1,11:16,3,7,OAK 32,0,0,Derek Carr pass incomplete deep right intended for Kenbrell Thompkins,0.040,-1.240
1,11:11,4,7,OAK 32,0,0,"Marquette King punts 50 yards, out of bounds",-1.240,-0.040
1,10:59,1,10,KAN 18,0,0,Alex Smith pass incomplete short right intended for Junior Hemingway,0.040,-0.490
1,10:54,2,10,KAN 18,0,0,Jamaal Charles up the middle for 5 yards (tackle by Sio Moore and Miles Burris),-0.490,-0.530
1,10:15,3,5,KAN 23,0,0,Alex Smith pass incomplete short right intended for Jamaal Charles,-0.530,-1.830
1,10:12,4,5,KAN 23,0,0,Dustin Colquitt punts 37 yards,-1.830,-1.600
1,10:02,1,10,OAK 40,0,0,Derek Carr pass complete short right to Vincent Brown for 19 yards (tackle by Ron Parker),1.600,2.850
1,9:19,1,10,KAN 41,0,0,Derek Carr pass incomplete short middle intended for Vincent Brown,2.850,2.310
1,9:16,2,10,KAN 41,0,0,Darren McFadden left guard for 3 yards (tackle by Josh Mauga and Tamba Hali),2.310,2.020
1,8:39,3,7,KAN 38,0,0,Derek Carr pass complete short right to James Jones for 11 yards (tackle by Ron Parker),2.020,3.780
1,7:59,1,10,KAN 27,0,0,Latavius Murray up the middle for 6 yards (tackle by Josh Mauga and James-Michael Johnson),3.780,4.040
1,7:26,2,4,KAN 21,0,0,Derek Carr pass incomplete deep left intended for Andre Holmes,4.040,3.340
1,7:21,3,4,KAN 21,0,0,Derek Carr pass complete short middle to Brice Butler for 10 yards (tackle by Kurt Coleman),3.340,4.840
1,6:38,1,10,KAN 11,0,6,"Latavius Murray left end for 11 yards, touchdown",4.840,7.000
1,6:38,,,KAN 2,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,6:38,,,OAK 35,0,7,"Sebastian Janikowski kicks off 70 yards, returned by Knile Davis for 19 yards (tackle by Keith McGill)",0.000,0.280
1,6:26,1,10,KAN 14,0,7,Jamaal Charles left end for 2 yards (tackle by Miles Burris and C.J. Wilson),-0.280,-0.510
1,5:50,2,8,KAN 16,0,7,Jamaal Charles up the middle for 11 yards (tackle by Larry Asante),-0.510,0.740
1,5:14,1,10,KAN 27,0,7,Jamaal Charles left tackle for 6 yards (tackle by Sio Moore and Larry Asante),0.740,1.010
1,4:38,2,4,KAN 33,0,7,Alex Smith pass complete short right to Dwayne Bowe for 7 yards (tackle by D.J. Hayden),1.010,1.600
1,4:09,1,10,KAN 40,0,7,Alex Smith pass incomplete short left intended for De'Anthony Thomas,1.600,1.050
1,4:04,2,10,KAN 40,0,7,Jamaal Charles up the middle for 3 yards (tackle by Pat Sims),1.050,0.760
1,3:20,3,7,KAN 43,0,7,Alex Smith pass complete short middle to Junior Hemingway for 4 yards (tackle by D.J. Hayden),0.760,-0.260
1,2:43,4,3,KAN 47,0,7,"Dustin Colquitt punts 35 yards, fair catch by Denarius Moore",-0.260,-0.040
1,2:38,1,10,OAK 18,0,7,Derek Carr pass incomplete short right intended for Mychal Rivera,0.040,-0.490
1,2:35,2,10,OAK 18,0,7,Derek Carr pass complete short left to Andre Holmes for 6 yards (tackle by Sean Smith),-0.490,-0.400
1,2:00,3,4,OAK 24,0,7,Derek Carr pass incomplete short left intended for Mychal Rivera,-0.400,-1.770
1,1:56,4,4,OAK 24,0,7,"Marquette King punts 58 yards, returned by De'Anthony Thomas for 15 yards (tackle by Latavius Murray)",-1.770,-1.140
1,1:43,1,10,KAN 33,0,7,Alex Smith pass complete short left to Jamaal Charles for 20 yards (tackle by Miles Burris),1.140,2.460
1,1:05,1,10,OAK 47,0,7,Knile Davis up the middle for 3 yards (tackle by C.J. Wilson and Denico Autry),2.460,2.320
1,0:32,2,7,OAK 44,0,7,Alex Smith pass complete short right to De'Anthony Thomas for 10 yards (tackle by Charles Woodson),2.320,3.310
Quarter,Time,Down,ToGo,Location,KAN,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 34,0,7,"Jamaal Charles left end for -1 yards (tackle by Sio Moore and Charles Woodson). Penalty on Eric Fisher: Offensive Holding, 10 yards (no play)",3.310,2.650
2,14:33,1,20,OAK 44,0,7,Alex Smith pass complete short middle to Travis Kelce for 8 yards (tackle by Sio Moore),2.650,2.500
2,13:56,2,12,OAK 36,0,7,Alex Smith pass complete short left to Jamaal Charles for -12 yards (tackle by Miles Burris and Sio Moore),2.500,0.230
2,13:21,3,24,OAK 48,0,7,"Penalty on Ryan Harris: False Start, 5 yards (no play)",0.230,-0.430
2,12:52,3,29,KAN 47,0,7,Alex Smith pass incomplete short middle intended for De'Anthony Thomas (defended by Justin Tuck),-0.430,-0.260
2,12:48,4,29,KAN 47,0,7,"Dustin Colquitt punts 43 yards, fair catch by Denarius Moore",-0.260,0.380
2,12:40,1,10,OAK 10,0,13,"Latavius Murray up the middle for 90 yards, touchdown",-0.380,7.000
2,12:40,,,KAN 2,0,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,12:40,,,OAK 35,0,14,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
2,12:28,1,10,KAN 20,0,14,De'Anthony Thomas left end for 9 yards (tackle by Khalil Mack),0.280,0.950
2,11:51,2,1,KAN 29,0,14,Jamaal Charles left end for -1 yards (tackle by Charles Woodson),0.950,0.100
2,11:13,3,2,KAN 28,0,14,Jamaal Charles left end for 9 yards (tackle by Larry Asante),0.100,1.400
2,10:34,1,10,KAN 37,0,14,Alex Smith pass complete short right to Anthony Sherman for no gain,1.400,0.860
2,9:54,2,10,KAN 37,0,14,Alex Smith pass complete short right to Anthony Fasano for 11 yards (tackle by Sio Moore),0.860,2.130
2,9:13,1,10,KAN 48,0,14,Alex Smith pass incomplete short right intended for Jamaal Charles,2.130,1.580
2,9:09,2,10,KAN 48,0,14,Jamaal Charles right tackle for 8 yards (tackle by Khalil Mack),1.580,1.950
