Unnamed: 0,KAN,OAK
First Downs,16,18
Rush-Yds-TDs,24-96-0,30-179-2
Cmp-Att-Yd-TD-INT,20-36-234-2-0,18-35-174-1-0
Sacked-Yards,2-17,1-2
Net Pass Yards,217,172
Total Yards,313,351
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,7-59,7-60
Third Down Conv.,2-14,8-16
Fourth Down Conv.,0-1,1-1
Time of Possession,29:56,30:04
