Unnamed: 0,STL,SEA
First Downs,13,25
Rush-Yds-TDs,18-77-0,34-167-1
Cmp-Att-Yd-TD-INT,17-36-191-0-0,25-36-279-3-2
Sacked-Yards,3-21,0-0
Net Pass Yards,170,279
Total Yards,247,446
Fumbles-Lost,2-1,2-1
Turnovers,1,3
Penalties-Yards,10-85,4-25
Third Down Conv.,2-12,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,27:33,32:27
