Quarter,Time,Down,ToGo,Location,KAN,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Olindo Mare kicks off 59 yards, returned by Terrance Copper for 17 yards (tackle by Dexter Davis)",0.000,0.810
1,14:54,1,10,KAN 28,0,0,Matt Cassel pass complete short right to Dwayne Bowe for 14 yards (tackle by Marcus Trufant and David Hawthorne),0.810,1.730
1,14:14,1,10,KAN 42,0,0,Matt Cassel pass incomplete short right intended for Verran Tucker,1.730,1.190
1,14:10,2,10,KAN 42,0,0,Thomas Jones left tackle for 4 yards (tackle by David Hawthorne),1.190,1.030
1,13:33,,,,0,0,Timeout #1 by Seattle Seahawks,0.000,1.030
1,13:33,3,6,KAN 46,0,0,Matt Cassel pass complete short right to Dwayne Bowe for 19 yards (tackle by Aaron Curry and Lawyer Milloy),1.030,3.250
1,13:01,1,10,SEA 35,0,0,Thomas Jones right tackle for 4 yards (tackle by Kentwan Balmer),3.250,3.240
1,12:22,2,6,SEA 31,0,0,Matt Cassel pass complete deep middle to Verran Tucker for 24 yards (tackle by Earl Thomas),3.240,5.600
1,11:37,1,7,SEA 7,6,0,"Matt Cassel pass complete short middle to Dwayne Bowe for 7 yards, touchdown",5.600,7.000
1,,,,SEA 2,7,0,Ryan Succop kicks extra point good,0.000,0.000
1,,,,KAN 30,7,0,"Ryan Succop kicks off 48 yards, returned by Cameron Morrah for 30 yards (tackle by Ricky Price)",0.000,2.390
1,11:25,1,10,KAN 48,7,0,Marshawn Lynch right guard for 4 yards (tackle by Jovan Belcher and Tamba Hali),2.390,2.390
1,10:54,2,6,KAN 44,7,0,Matt Hasselbeck pass complete short left to Ben Obomanu for 5 yards (tackle by Javier Arenas),2.390,2.340
1,10:26,3,1,KAN 39,7,0,Marshawn Lynch left guard for no gain (tackle by Derrick Johnson),2.340,0.660
1,9:45,4,1,KAN 39,7,0,Matt Hasselbeck pass incomplete short left intended for Golden Tate (defended by Brandon Carr),0.660,-1.470
1,9:40,1,10,KAN 38,7,0,Jamaal Charles right end for 27 yards (tackle by Earl Thomas),1.470,3.250
1,8:55,1,10,SEA 35,7,0,Matt Cassel pass complete short middle to Thomas Jones for 8 yards (tackle by Lawyer Milloy),3.250,3.780
1,8:17,2,2,SEA 27,7,0,Thomas Jones middle for 3 yards (tackle by Brandon Mebane and David Hawthorne),3.780,3.970
1,7:38,1,10,SEA 24,7,0,"Jamaal Charles right tackle for 8 yards (tackle by Lawyer Milloy). Penalty on Barry Richardson: Clipping, 15 yards",3.970,3.510
1,7:06,1,17,SEA 31,7,0,Matt Cassel pass complete short right to Mike Cox for 10 yards (tackle by Marcus Trufant),3.510,3.840
1,6:30,2,7,SEA 21,7,0,Thomas Jones right tackle for 1 yard (tackle by Lofa Tatupu and Junior Siavii),3.840,3.270
1,5:54,3,6,SEA 20,7,0,Matt Cassel pass complete short right to Thomas Jones for -5 yards (tackle by Jordan Babineaux),3.270,1.800
1,5:08,4,11,SEA 25,7,0,"Ryan Succop 43 yard field goal no good, blocked by Craig Terrill, recovered by Dustin Colquitt and returned for 43 yards",1.800,-1.470
,,,,,,,"KAN challenged the ruling, and the original play was overturned.",,
1,5:03,1,10,SEA 38,7,0,Marshawn Lynch right tackle for 5 yards (tackle by Eric Berry and Shaun Smith),1.470,1.600
1,4:33,2,5,SEA 43,7,0,Marshawn Lynch left tackle for no gain (tackle by Ron Edwards),1.600,0.890
1,3:53,3,5,SEA 43,7,0,Matt Hasselbeck pass incomplete short right intended for Ben Obomanu (defended by Jackie Bates),0.890,-0.520
1,3:48,4,5,SEA 43,7,0,"Jon Ryan punts 36 yards, returned by Javier Arenas for 3 yards (tackle by Kennard Cox)",-0.520,-0.540
1,3:33,1,10,KAN 24,7,0,Thomas Jones left guard for 4 yards (tackle by Lawyer Milloy),0.540,0.540
1,2:57,2,6,KAN 28,7,0,Jamaal Charles left end for 12 yards (tackle by Earl Thomas),0.540,1.600
1,2:29,1,10,KAN 40,7,0,Thomas Jones right end for 2 yards (tackle by Kentwan Balmer and Lofa Tatupu),1.600,1.320
1,1:57,2,8,KAN 42,7,0,Jamaal Charles right end for 7 yards (tackle by Walter Thurmond and David Hawthorne),1.320,1.550
1,1:12,3,1,KAN 49,7,0,"Jamaal Charles right end for no gain (tackle by David Hawthorne). Penalty on Leonard Pope: Offensive Holding, 10 yards (no play)",1.550,0.230
1,0:46,3,11,KAN 39,7,0,Matt Cassel pass incomplete,0.230,-0.780
1,0:39,4,11,KAN 39,7,6,"Dustin Colquitt punts no gain, touchdown",-0.780,-7.000
1,,,,KAN 2,7,7,Olindo Mare kicks extra point good,0.000,0.000
1,,,,SEA 30,7,7,"Olindo Mare kicks off 59 yards, returned by Verran Tucker for 15 yards (tackle by Leon Washington)",0.000,0.670
1,0:25,1,10,KAN 26,7,7,Jamaal Charles right end for 4 yards (tackle by Aaron Curry),0.670,0.670
Quarter,Time,Down,ToGo,Location,KAN,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,KAN 30,7,7,Jamaal Charles left tackle for 4 yards (tackle by Junior Siavii and Lofa Tatupu),0.670,0.500
2,14:26,3,2,KAN 34,7,7,Matt Cassel pass complete short right to Dwayne Bowe for 5 yards,0.500,1.530
2,13:59,1,10,KAN 39,7,7,Matt Cassel pass complete short middle to Jamaal Charles for 8 yards (tackle by Aaron Curry),1.530,2.070
2,13:20,2,2,KAN 47,7,7,Thomas Jones left tackle for 1 yard (tackle by Chris Clemons and Lofa Tatupu),2.070,1.490
2,12:44,3,1,KAN 48,7,7,"Penalty on Barry Richardson: False Start, 4 yards (no play)",1.490,0.960
2,12:18,,,,7,7,Timeout #1 by Kansas City Chiefs,0.000,0.960
2,12:18,3,5,KAN 44,7,7,Matt Cassel pass complete deep right to Dwayne Bowe for 22 yards (tackle by Walter Thurmond and Earl Thomas),0.960,3.310
2,11:42,1,10,SEA 34,7,7,Jamaal Charles right end for 4 yards (tackle by Lawyer Milloy and Junior Siavii),3.310,3.310
2,11:04,2,6,SEA 30,7,7,Thomas Jones left tackle for 1 yard (tackle by Junior Siavii),3.310,2.740
2,10:23,3,5,SEA 29,7,7,Jamaal Charles left tackle for 8 yards (tackle by Lawyer Milloy),2.740,4.170
2,9:46,1,10,SEA 21,7,7,Thomas Jones right end for no gain (tackle by David Hawthorne),4.170,3.630
2,9:14,2,10,SEA 21,7,7,Matt Cassel pass incomplete deep left intended for Dwayne Bowe,3.630,2.940
2,9:08,,,,7,7,Timeout #2 by Kansas City Chiefs,0.000,2.940
2,9:08,3,10,SEA 21,7,7,Matt Cassel pass complete short right to Dwayne Bowe for 11 yards (tackle by Roy Lewis),2.940,4.910
2,8:44,1,10,SEA 10,7,7,Jamaal Charles right end for 3 yards (tackle by Walter Thurmond),4.910,4.760
2,8:04,2,7,SEA 7,7,7,Jamaal Charles right tackle for 6 yards (tackle by David Hawthorne and Lofa Tatupu),4.760,5.170
2,7:22,3,1,SEA 1,13,7,"Shaun Smith middle for 1 yard, touchdown",5.170,7.000
2,,,,SEA 2,14,7,Ryan Succop kicks extra point good,0.000,0.000
2,,,,KAN 30,14,7,"Ryan Succop kicks off 47 yards, returned by Justin Forsett for 8 yards (tackle by Eric Berry)",0.000,1.000
2,7:14,1,10,SEA 31,14,7,Matt Hasselbeck pass complete short right to Marshawn Lynch for 5 yards (tackle by Derrick Johnson and Jovan Belcher),1.000,1.140
2,6:42,2,5,SEA 36,14,7,Matt Hasselbeck pass complete short right to John Carlson for 3 yards (tackle by Javier Arenas),1.140,0.830
2,6:03,3,2,SEA 39,14,7,Matt Hasselbeck pass complete short left to Brandon Stokley for 6 yards (tackle by Kendrick Lewis),0.830,1.930
2,5:26,1,10,SEA 45,14,7,Matt Hasselbeck pass complete short right to Deon Butler for 3 yards (tackle by Derrick Johnson),1.930,1.790
2,4:52,2,7,SEA 48,14,7,Matt Hasselbeck pass complete short right to Ben Obomanu for 5 yards (tackle by Jackie Bates),1.790,1.750
2,4:16,3,2,KAN 47,14,7,"Matt Hasselbeck pass incomplete. Penalty on Matt Hasselbeck: Intentional Grounding, 11 yards",1.750,-0.590
2,4:10,4,13,SEA 42,14,7,"Jon Ryan punts 41 yards, returned by Javier Arenas for -1 yards (tackle by Will Herring). Penalty on Kennard Cox: Player Out of Bounds on , 5 yards (no play)",-0.590,-0.910
2,3:59,4,18,SEA 37,14,7,"Jon Ryan punts 57 yards, returned by Javier Arenas for 14 yards (tackle by Matt McCoy)",-0.910,-0.280
2,3:50,1,10,KAN 20,14,7,Matt Cassel pass complete short middle to Thomas Jones for 11 yards (tackle by Aaron Curry),0.280,1.000
2,3:09,1,10,KAN 31,14,7,Matt Cassel for 23 yards,1.000,2.520
2,2:33,1,10,SEA 46,14,7,Thomas Jones left end for 4 yards (tackle by David Hawthorne),2.520,2.520
2,2:04,2,6,SEA 42,14,7,Matt Cassel pass incomplete short right intended for Dwayne Bowe,2.520,1.820
2,1:57,3,6,SEA 42,14,7,Matt Cassel pass complete short middle to Dwayne Bowe for 6 yards (tackle by Earl Thomas),1.820,3.180
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
2,1:18,1,10,SEA 36,20,7,"Matt Cassel pass complete deep right to Dwayne Bowe for 36 yards, touchdown",3.180,7.000
2,,,,SEA 2,21,7,Ryan Succop kicks extra point good,0.000,0.000
2,,,,KAN 30,21,7,"Ryan Succop kicks off 53 yards, returned by Leon Washington for 11 yards (tackle by Cory Greenwood)",0.000,0.810
2,1:09,1,10,SEA 28,21,7,Matt Hasselbeck pass complete short left to Justin Forsett for 8 yards (tackle by Derrick Johnson),0.810,1.340
2,1:03,2,2,SEA 36,21,7,Matt Hasselbeck pass incomplete short middle intended for Deon Butler,1.340,0.630
2,0:59,3,2,SEA 36,21,7,Matt Hasselbeck pass complete short right to Brandon Stokley for 9 yards (tackle by Javier Arenas),0.630,1.930
2,0:52,,,,21,7,Timeout #2 by Seattle Seahawks,0.000,1.930
2,0:52,1,10,SEA 45,21,7,Matt Hasselbeck pass incomplete deep middle intended for Brandon Stokley is intercepted by Kendrick Lewis at KAN-26 and returned for 22 yards,1.930,-2.130
2,0:42,1,10,KAN 48,21,7,Matt Cassel pass incomplete deep middle intended for Tony Moeaki,2.130,1.580
2,0:38,2,10,KAN 48,21,7,"Matt Cassel pass complete short right to Jamaal Charles for -5 yards (tackle by Roy Lewis). Jamaal Charles fumbles (forced by Roy Lewis), recovered by Marcus Trufant at KAN-43 (tackle by Jamaal Charles)",1.580,-2.720
2,0:28,1,10,KAN 43,21,7,Matt Hasselbeck pass incomplete short right intended for Deon Butler,2.720,2.180
2,0:25,2,10,KAN 43,21,7,Matt Hasselbeck pass complete short left to Brandon Stokley for 12 yards,2.180,3.510
2,0:21,1,10,KAN 31,21,7,Matt Hasselbeck pass complete short left to Deon Butler for 6 yards (tackle by Javier Arenas),3.510,3.780
2,0:14,,,,21,7,Timeout #3 by Seattle Seahawks,0.000,0.000
2,0:14,,,,21,7,Timeout #3 by Kansas City Chiefs,0.000,3.780
2,0:14,2,4,KAN 25,21,7,Matt Hasselbeck pass incomplete deep left intended for Deon Butler,3.780,3.070
2,0:09,3,4,KAN 25,21,7,Matt Hasselbeck pass incomplete deep right intended for Deon Butler,3.070,1.880
2,0:02,4,4,KAN 25,21,10,Olindo Mare 43 yard field goal good,1.880,3.000
Quarter,Time,Down,ToGo,Location,KAN,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
