Unnamed: 0,HOU,WAS
First Downs,29,21
Rush-Yds-TDs,24-58-0,17-18-2
Cmp-Att-Yd-TD-INT,38-52-497-3-1,28-38-426-1-0
Sacked-Yards,5-29,3-23
Net Pass Yards,468,403
Total Yards,526,421
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-45,7-58
Third Down Conv.,6-14,2-10
Fourth Down Conv.,1-2,0-0
Time of Possession,39:49,31:47
